تقرير المتشابهات التوقعي (سورة البقرة مع كامل المصحف)
========================================================
بتاريخ: ٩‏/٢‏/٢٠٢٦، ١٠:٠٢:٣٨ ص
القواعد المستخدمة:
- الحد الأدنى: 4 كلمات.
- تصفية الكلمات الشائعة (أقل من ٣ كلمات أساسية في الجمل القصيرة).
- السماح باختلاف بسيط (مسافة تعديل <= ٢) في الكلمات.

السورة         | عدد المتشابهات المتوقعة
----------------------------------------
3   . سُورَةُ آلِ عِمۡرَانَ | 507
5   . سُورَةُ المَائـِدَةِ | 494
4   . سُورَةُ النِّسَاءِ | 339
9   . سُورَةُ التَّوۡبَةِ | 262
8   . سُورَةُ الأَنفَالِ | 164
7   . سُورَةُ الأَعۡرَافِ | 150
24  . سُورَةُ النُّورِ | 145
33  . سُورَةُ الأَحۡزَابِ | 141
16  . سُورَةُ النَّحۡلِ | 114
22  . سُورَةُ الحَجِّ | 113
10  . سُورَةُ يُونُسَ | 109
58  . سُورَةُ المُجَادلَةِ | 102
49  . سُورَةُ الحُجُرَاتِ | 95
6   . سُورَةُ الأَنۡعَامِ | 85
29  . سُورَةُ العَنكَبُوتِ | 71
61  . سُورَةُ الصَّفِّ | 69
59  . سُورَةُ الحَشۡرِ | 67
60  . سُورَةُ المُمۡتَحنَةِ | 67
13  . سُورَةُ الرَّعۡدِ | 64
42  . سُورَةُ الشُّورَىٰ | 63
57  . سُورَةُ الحَدِيدِ | 61
64  . سُورَةُ التَّغَابُنِ | 59
11  . سُورَةُ هُودٍ   | 53
14  . سُورَةُ إِبۡرَاهِيمَ | 53
31  . سُورَةُ لُقۡمَانَ | 52
47  . سُورَةُ مُحَمَّدٍ | 50
62  . سُورَةُ الجُمُعَةِ | 48
20  . سُورَةُ طه      | 44
48  . سُورَةُ الفَتۡحِ | 43
35  . سُورَةُ فَاطِرٍ | 42
40  . سُورَةُ غَافِرٍ | 42
18  . سُورَةُ الكَهۡفِ | 41
65  . سُورَةُ الطَّلَاقِ | 40
46  . سُورَةُ الأَحۡقَافِ | 39
66  . سُورَةُ التَّحۡرِيمِ | 37
45  . سُورَةُ الجَاثِيَةِ | 34
41  . سُورَةُ فُصِّلَتۡ | 33
30  . سُورَةُ الرُّومِ | 30
34  . سُورَةُ سَبَإٍ  | 29
28  . سُورَةُ القَصَصِ | 26
73  . سُورَةُ المُزَّمِّلِ | 25
36  . سُورَةُ يسٓ     | 21
63  . سُورَةُ المُنَافِقُونَ | 21
39  . سُورَةُ الزُّمَرِ | 20
27  . سُورَةُ النَّمۡلِ | 18
85  . سُورَةُ البُرُوجِ | 18
98  . سُورَةُ البَيِّنَةِ | 18
12  . سُورَةُ يُوسُفَ | 16
43  . سُورَةُ الزُّخۡرُفِ | 15
17  . سُورَةُ الإِسۡرَاءِ | 14
32  . سُورَةُ السَّجۡدَةِ | 13
38  . سُورَةُ صٓ      | 13
19  . سُورَةُ مَرۡيَمَ | 12
25  . سُورَةُ الفُرۡقَانِ | 11
53  . سُورَةُ النَّجۡمِ | 10
23  . سُورَةُ المُؤۡمِنُونَ | 9
26  . سُورَةُ الشُّعَرَاءِ | 9
67  . سُورَةُ المُلۡكِ | 8
15  . سُورَةُ الحِجۡرِ | 6
21  . سُورَةُ الأَنبِيَاءِ | 6
84  . سُورَةُ الانشِقَاقِ | 6
44  . سُورَةُ الدُّخَانِ | 5
71  . سُورَةُ نُوحٍ   | 5
74  . سُورَةُ المُدَّثِّرِ | 5
95  . سُورَةُ التِّينِ | 5
103 . سُورَةُ العَصۡرِ | 5
55  . سُورَةُ الرَّحۡمَٰن | 3
37  . سُورَةُ الصَّافَّاتِ | 2
51  . سُورَةُ الذَّارِيَاتِ | 2
56  . سُورَةُ الوَاقِعَةِ | 2
70  . سُورَةُ المَعَارِجِ | 2
72  . سُورَةُ الجِنِّ | 2
75  . سُورَةُ القِيَامَةِ | 2
76  . سُورَةُ الإِنسَانِ | 2
77  . سُورَةُ المُرۡسَلَاتِ | 2
78  . سُورَةُ النَّبَإِ | 2
81  . سُورَةُ التَّكۡوِيرِ | 2
82  . سُورَةُ الانفِطَارِ | 2
88  . سُورَةُ الغَاشِيَةِ | 2
90  . سُورَةُ البَلَدِ | 2
94  . سُورَةُ الشَّرۡحِ | 2
97  . سُورَةُ القَدۡرِ | 2
99  . سُورَةُ الزَّلۡزَلَةِ | 2
