تقرير متشابهات السور الداخلية
================================
تم استخراج هذا التقرير بتاريخ: ٩‏/٢‏/٢٠٢٦، ٨:٠٥:٥٢ ص

السورة | عدد المتشابهات الداخلية
--------------------------------
2. البقرة          | 258
3. آل عمران        | 152
4. النساء          | 155
5. المائدة         | 128
6. الأنعام         | 71
7. الأعراف         | 148
8. الأنفال         | 21
9. التوبة          | 82
10. يونس            | 87
11. هود             | 88
12. يوسف            | 143
13. الرعد           | 25
14. إبراهيم         | 27
15. الحجر           | 85
16. النحل           | 173
17. الإسراء         | 95
18. الكهف           | 122
19. مريم            | 139
20. طه              | 120
21. الأنبياء        | 172
22. الحج            | 59
23. المؤمنون        | 170
24. النور           | 165
25. الفرقان         | 112
26. الشعراء         | 195
27. النمل           | 88
28. القصص           | 86
29. العنكبوت        | 65
30. الروم           | 48
31. لقمان           | 29
32. السجدة          | 15
33. الأحزاب         | 83
34. سبأ             | 55
35. فاطر            | 23
36. يس              | 68
37. الصافات         | 117
38. ص               | 75
39. الزمر           | 74
40. غافر            | 99
41. فصلت            | 49
42. الشورى          | 82
43. الزخرف          | 60
44. الدخان          | 45
45. الجاثية         | 38
46. الأحقاف         | 37
47. محمد            | 46
48. الفتح           | 29
49. الحجرات         | 13
50. ق               | 28
51. الذاريات        | 31
52. الطور           | 19
53. النجم           | 27
54. القمر           | 30
55. الرحمن          | 61
56. الواقعة         | 47
57. الحديد          | 28
58. المجادلة        | 30
59. الحشر           | 27
60. الممتحنة        | 9
61. الصف            | 11
62. الجمعة          | 8
63. المنافقون       | 6
64. التغابن         | 11
65. الطلاق          | 11
66. التحريم         | 6
67. الملك           | 34
68. القلم           | 16
69. الحاقة          | 30
70. المعارج         | 8
71. نوح             | 17
72. الجن            | 36
73. المزمل          | 12
74. المدثر          | 27
75. القيامة         | 20
76. الإنسان         | 19
77. المرسلات        | 39
78. النبأ           | 4
79. النازعات        | 4
80. عبس             | 2
83. المطففين        | 6
86. الطارق          | 2
88. الغاشية         | 2
--------------------------------
الإجمالي الكلي للمواضع الداخلية: 4984
