46:1|40:1,41:1,42:1,43:1,44:1,45:1
46:2|27:9,34:27,39:1,3:126,40:2,45:2
46:3|15:85,19:65,25:59,26:24,30:8,32:4,37:5,38:10,38:27,38:66,42:29,43:85,44:38,44:7,50:38,5:17,5:18,78:37
46:4|10:106,10:66,11:101,16:20,19:48,22:12,22:73,35:40,39:38,40:66,6:108,6:143,6:56,7:194,7:37
46:5|10:106,10:66,11:101,16:20,18:43,19:48,22:12,22:73,26:93,28:81,29:22,2:107,35:40,39:38,3:55,40:66,42:31,42:46,6:108,6:56,6:71,7:194,7:37,9:116
46:7|10:15,19:73,22:72,31:7,34:43,45:25,8:31
46:8|10:38,11:13,11:35,13:43,32:3,48:11,5:17,5:41
46:9|10:15,26:115,6:50
46:10|12:52,16:107,16:37,28:50,2:258,2:264,2:89,3:86,41:52,4:78,5:108,5:51,5:67,5:78,61:5,61:7,62:5,63:6,6:144,9:109,9:19,9:24,9:37,9:80
46:11|19:73,29:12,36:47
46:12|11:17
46:13|10:62,2:112,2:262,2:274,2:277,2:38,2:62,3:170,41:30,5:69,6:48,7:35
46:14|32:17,56:24
46:15|27:19,29:8
46:17|10:55,18:21,23:83,27:68,28:13,30:60,31:33,35:5,40:55,40:77,45:32,6:25,8:31
46:18|13:30,13:6,28:63,3:137,3:144,41:25,48:23,5:75,7:179,7:38
46:19|6:132
46:20|10:23,28:39,40:75,41:15,42:42,6:93,7:146
46:21|11:2,11:26,11:3,11:84,12:40,13:11,17:23,26:135,41:14,41:42,72:27,7:17,7:59
46:22|11:32,7:70,7:77
46:23|11:29,11:57,67:26
46:25|10:13
46:26|11:8,15:11,16:34,21:41,26:6,36:30,39:48,40:83,43:7,45:33,6:10,6:5
46:28|19:81,29:25,29:41,36:74,39:43,45:10,9:16
46:30|2:97,35:31,3:3,5:46,5:48,61:6
46:31|14:10,71:4
46:32|39:22
46:33|10:3,11:4,11:7,14:19,14:32,16:77,17:99,18:45,18:51,22:17,22:6,24:45,25:2,25:59,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:37,30:50,32:4,33:27,33:52,33:55,35:1,36:81,3:165,3:189,3:26,3:29,41:15,41:39,41:53,42:29,42:9,48:21,4:33,4:85,4:86,57:2,57:4,59:6,5:117,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:1,6:17,6:73,75:40,7:54,8:41,9:39
46:34|3:106,6:30,7:39,8:35
46:35|10:45,6:47
