33:1|4:1,4:11,4:24,4:33,4:34,4:35,4:56,4:86,60:12,65:1,76:30
33:2|10:109,17:87,34:6,4:128,4:135,4:29,4:32,4:58,4:94,5:67,6:106
33:3|4:81
33:5|25:70,48:14,4:100,4:152,4:96
33:6|17:58,8:75
33:7|4:154
33:9|14:6,22:77,2:110,2:233,2:237,31:29,35:3,3:103,3:200,48:11,48:24,4:108,5:11,5:20,5:7
33:12|22:53,47:20,47:29,5:52,74:31,8:49,9:125
33:17|10:104,10:37,11:113,11:20,16:20,18:43,27:24,28:81,29:17,29:22,29:41,2:107,34:22,3:79,40:66,42:31,45:10,4:123,4:173,53:58,6:70,71:25,9:116,9:16
33:19|14:20,22:70,29:19,35:11,35:17,48:5,4:169,4:30,57:22
33:21|60:6
33:24|25:6,3:128,4:106,4:129,4:23,4:43,5:39,9:102
33:25|8:55
33:26|2:109,59:11,59:2
33:27|11:12,11:4,16:77,18:45,22:17,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,35:1,3:165,3:189,3:26,3:29,41:39,41:53,42:9,46:33,48:21,4:133,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,8:41,9:39
33:28|66:1,8:70
33:30|14:20,22:70,29:19,35:11,35:17,48:5,4:169,4:30,57:22
33:35|48:29
33:36|24:52,48:17,4:13,4:14,72:23
33:37|4:47
33:39|4:81
33:40|29:62,2:231,48:26,4:126,58:7,5:97,8:75,9:115
33:41|22:77,3:200,5:11
33:43|2:257,57:9,5:16,65:11
33:45|48:8,49:13,60:12,65:1
33:47|10:27,40:21
33:48|4:81
33:49|24:21,24:27,2:104,2:237,2:264,2:282,3:100,3:118,3:130,3:149,3:156,47:7,49:1,49:11,49:2,49:6,4:144,4:19,4:29,4:43,4:71,4:94,58:11,58:12,58:9,5:101,5:2,5:51,5:57,5:6,5:87,5:90,5:95,60:1,60:10,60:13,62:9,63:9,64:14,66:6,8:15,8:27,8:29,8:45,9:23,9:28,9:34,9:38
33:50|25:70,48:14,49:13,4:100,4:152,4:96,60:12,65:1
33:51|48:4,4:104,4:111,4:17,4:170,4:92
33:52|11:12,16:77,18:45,22:17,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,35:1,3:165,3:189,3:29,41:39,41:53,46:33,48:21,4:133,4:85,4:86,58:6,59:6,5:17,5:19,5:40,65:12,85:9,8:41,9:39
33:53|14:11,24:27,27:60,2:104,2:172,2:264,2:282,3:118,3:130,4:144,4:29,58:11,58:12,58:9,5:101,5:2,5:51,5:57,5:6,5:95,60:1,60:10,60:13,61:10,61:2,62:9,66:6,8:15,8:45,9:23
33:54|4:127,4:128,4:135,4:149,4:32
33:55|13:11,13:31,22:17,22:6,28:50,34:47,3:26,41:39,41:53,46:33,49:1,49:12,4:1,4:106,4:11,4:24,4:32,4:33,4:34,4:35,4:86,58:6,59:18,59:7,5:117,5:2,5:4,5:7,5:8,66:8,76:30,85:9,8:69
33:56|24:21,24:27,2:104,2:172,2:264,3:118,3:130,3:156,49:1,49:11,49:2,4:144,4:19,4:29,4:43,4:71,5:101,5:2,5:51,5:57,5:87,5:95,60:1,60:13,63:9,66:6,8:27,9:23
33:57|22:15,24:19
33:58|4:112
33:59|25:70,48:14,4:100,4:152,4:96,66:1,8:70
33:60|22:53,47:20,47:29,5:52,74:31,8:49,9:125
33:62|35:43,48:23
33:63|42:17,7:187
33:65|48:22,4:57,64:9,65:11,9:100,9:22
33:69|2:104,2:172,2:282,3:156,58:11,58:12,58:9,5:6,60:10,60:13,61:10,61:2,62:9,66:6,8:15,8:27,8:45
33:70|2:254,2:267,2:278,3:102,4:136,4:9,57:28,59:18,5:1,5:35,66:6,9:119,9:123
33:71|24:52,48:17,4:13,4:14,72:23
33:73|25:70,48:14,48:6,4:100,4:152,4:96
