21:2|26:5
21:3|23:24,23:33
21:7|12:109,16:43
21:14|36:52,68:31
21:16|38:27,44:38
21:19|10:101,13:16,16:52,17:55,19:93,24:41,30:26,30:27,31:26,45:37,4:170,57:1,59:24
21:22|37:180,43:82
21:24|16:101,16:75,18:15,25:3,27:61,27:64,29:63,31:25,36:23,39:29,39:43,42:9
21:25|10:90,11:14,12:109,16:2,16:43,20:14,20:8,22:52,27:26,28:70,28:88,2:255,3:18,3:2,43:23,43:45,47:19,4:87,51:52,64:13,9:129
21:26|19:88
21:28|19:64,20:110,22:76,2:255,34:9,36:45,41:14,41:25,7:17
21:31|16:15,31:10
21:33|16:12,36:40,41:37
21:35|29:57,3:185
21:36|25:41
21:37|96:2
21:38|10:48,27:71,34:29,36:48,67:25
21:41|11:8,13:32,15:11,16:34,26:6,36:30,39:48,40:83,43:7,45:33,46:26,6:10,6:5
21:44|13:41,43:29
21:45|27:80,30:52
21:46|68:31
21:47|31:16,36:54
21:49|35:18,67:12
21:52|26:70,37:85
21:56|18:14
21:66|10:104,10:106,18:43,22:71,22:73,25:55,26:93,28:81,29:17,40:66,42:46,5:116,5:76,60:4,6:56,6:71,9:16
21:67|10:104,10:18,16:20,16:73,19:49,22:71,25:17,25:55,27:43,29:17,34:22,5:76,60:4,9:16
21:70|37:98
21:71|34:18
21:72|19:49,29:27,6:84
21:73|24:37
21:74|7:163
21:76|37:76
21:77|25:36,62:5,7:176,7:177,7:64
21:81|34:18
21:83|38:41
21:84|38:43
21:85|38:48
21:87|10:90,11:14,16:2,20:14,28:88,47:19,90:5
21:91|66:12
21:92|23:52
21:94|20:112,4:124
21:97|50:22
21:98|10:104,10:18,16:73,19:49,22:71,25:17,25:55,27:43,29:17,5:76,60:4
21:108|18:110,41:6
21:110|87:7
21:112|12:18
