8:2|22:35
8:3|22:35,2:3
8:10|13:31,14:47,28:49,28:50,2:110,2:209,2:220,2:260,2:79,31:27,3:126,3:159,3:198,3:37,4:11,4:78,5:7,9:28,9:71
8:11|27:60,40:13
8:12|3:151
8:13|2:196,2:211,59:4,59:7,5:2,5:98,72:23,9:63
8:15|24:21,24:27,2:104,2:264,2:282,33:49,33:53,33:69,3:100,3:118,3:130,3:149,3:156,47:4,47:7,49:1,49:11,49:2,49:6,4:144,4:19,4:29,4:43,4:71,4:94,58:11,58:12,58:9,5:101,5:2,5:51,5:57,5:6,5:87,5:90,5:95,60:1,60:10,60:13,62:9,63:9,64:14,66:6,9:23,9:28,9:34,9:38
8:16|3:162,66:9,9:73
8:17|2:181,2:227,2:244,49:1
8:19|2:184,9:3
8:20|22:77,47:33,4:59
8:24|2:153
8:25|2:196,2:211,59:4,59:7,5:2,5:98,9:36
8:26|40:64
8:27|2:104,2:172,2:282,33:49,33:56,33:69,3:156,58:11,58:12,58:9,5:6,60:10,60:13,61:10,61:2,62:9,66:6
8:28|64:15,9:22
8:29|2:105,2:282,33:49,3:74,57:21,57:29,58:11,58:12,58:9,5:6,5:90,60:10,61:10,61:2,62:4,62:9,9:28
8:30|3:54
8:31|10:15,19:73,22:72,23:83,27:68,31:7,34:43,45:25,46:17,46:7,6:25
8:34|10:55,28:13,28:57,39:49,44:39,52:47,6:37,7:131
8:35|3:106,46:34,6:30,7:39
8:36|11:19,14:3,16:88,22:25,39:71,47:1,47:32,47:34,4:167,58:16,63:2,7:45,9:34
8:38|4:22,4:23
8:39|2:110,2:192,2:193,2:233,2:237,3:120,4:108
8:40|22:78
8:41|10:84,11:12,11:4,16:77,18:45,22:17,22:6,24:45,29:20,2:106,2:109,2:148,2:177,2:20,2:215,2:259,2:284,2:83,30:50,33:27,33:52,35:1,3:165,3:189,3:26,3:29,3:92,41:39,42:9,46:33,48:21,4:36,4:85,57:2,58:6,59:6,59:7,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,9:39
8:43|11:5,31:23,35:38,39:7,3:119,42:24,5:7,67:13
8:44|22:76,2:210,35:4,3:109,57:5
8:45|24:21,24:27,2:104,2:264,2:282,33:49,33:53,33:69,3:100,3:118,3:130,3:149,3:156,47:7,49:1,49:11,49:2,49:6,4:144,4:19,4:29,4:43,4:71,4:94,58:11,58:12,58:9,5:101,5:2,5:51,5:57,5:6,5:87,5:90,5:95,60:1,60:10,60:13,62:10,62:9,63:9,64:14,66:6,9:23,9:28,9:34,9:38
8:46|2:153
8:47|11:19,14:3,16:88,22:25,2:243,3:120,3:99,47:1,47:32,47:34,4:167,7:45,7:86,9:34
8:48|16:63,27:24,29:38,59:16
8:49|22:53,2:209,2:220,2:260,31:27,33:12,33:60,3:159,47:20,47:29,4:100,5:52,65:3,74:31,9:125,9:71
8:50|47:27
8:51|22:10,3:182
8:52|3:11,40:22
8:53|13:11,22:6,22:62,2:181,2:227,2:244,31:30,49:1
8:54|3:11
8:55|33:25
8:59|3:178
8:60|2:272,2:273,3:157,3:167,3:92,4:100
8:61|12:34,26:220,40:56,41:36,42:40,44:6
8:63|14:8,45:13,5:17,70:14
8:64|26:215
8:65|59:13,59:14,5:58,9:127
8:66|2:249
8:69|16:115,16:18,24:5,24:62,2:173,2:182,2:192,2:199,2:226,2:235,33:55,39:53,3:155,3:89,49:1,49:12,49:14,58:12,59:18,59:7,5:2,5:3,5:34,5:39,5:4,5:7,5:8,5:88,5:98,60:12,64:14,73:20,9:102,9:5,9:99
8:70|24:22,33:28,33:59,49:5,4:25,57:28,64:17,66:1
8:72|2:110,2:190,2:233,2:234,2:237,2:265,2:271,3:156,3:180,49:15,4:74,4:76,4:90,4:92,57:10,57:4,58:11,58:3,60:3,64:2,64:8,9:20,9:34,9:41,9:81
8:74|22:50,24:26,2:190,2:218,34:4,4:74,4:76,5:54,61:11,9:19,9:20,9:34
8:75|24:35,24:64,29:62,2:110,2:231,2:282,33:40,33:6,42:12,48:26,49:16,4:126,4:176,58:7,5:97,64:11,9:115
