29:1|2:1,30:1,31:1,32:1,3:1
29:5|18:110
29:6|3:97
29:7|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:35,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
29:8|10:23,11:46,11:47,17:36,22:71,24:15,31:15,39:7,3:66,40:42,46:15,5:105,62:8,6:164,6:60,9:105,9:94
29:9|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
29:10|11:31,2:200,2:8
29:11|3:140
29:12|19:73,36:47,46:11
29:13|10:93,16:124,2:113,32:25,45:17
29:14|11:25,23:23,71:1,7:59
29:16|11:86,16:95,2:184,2:280,2:54,61:11,62:9,7:85,9:41
29:17|10:104,10:18,16:20,16:73,18:43,19:49,21:66,21:67,21:98,22:71,22:73,25:17,25:55,26:93,27:43,28:81,33:17,34:22,40:66,5:116,5:76,60:4,6:56,6:70,9:16
29:18|16:35,24:54,35:25,5:99
29:19|10:34,22:70,27:64,33:19,33:30,35:11,4:169,4:30,57:22,64:7
29:20|11:12,11:4,12:109,16:36,16:77,18:45,22:17,22:6,24:45,27:69,2:106,2:109,2:148,2:20,2:259,2:284,30:42,30:50,30:9,33:27,33:52,35:1,35:44,3:137,3:165,3:189,3:26,3:29,40:21,40:82,41:39,41:53,42:9,46:33,47:10,48:21,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:11,6:17,85:9,8:41,9:39
29:22|10:61,11:113,11:20,13:37,14:38,18:43,22:73,26:93,28:81,2:107,2:120,33:17,3:5,3:79,40:66,42:31,42:46,42:8,46:5,4:123,4:173,53:58,6:56,6:70,71:25,9:116,9:74
29:23|39:63,3:105,3:4,3:91,42:42
29:24|10:67,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,27:52,27:56,27:86,30:21,30:23,30:24,30:37,39:42,39:52,3:147,45:13,6:99,7:82
29:25|11:113,16:37,18:104,28:61,30:29,39:43,3:22,3:56,3:91,42:31,45:10,45:34,46:28
29:26|12:100,12:83,3:18,3:6,44:42
29:27|16:122,19:49,21:72,2:130,57:26,6:84
29:28|27:54,7:80
29:29|27:56,3:147,45:25,7:5,7:82
29:31|11:69
29:32|7:83
29:33|11:77,7:83
29:34|2:59,7:162
29:36|11:50,11:61,11:84,11:85,23:23,26:183,2:60,7:59,7:65,7:73,7:74,7:85
29:37|11:67,11:94,7:78,7:91
29:38|16:63,27:24,8:48
29:39|11:20,12:73,2:92
29:40|16:118,16:33,2:57,30:9,7:160,9:70
29:41|19:81,33:17,36:74,39:43,45:10,46:28,4:123,4:173,9:16
29:42|14:4,16:23,22:62,2:77,30:5
29:43|59:21
29:44|14:19,15:77,30:8,45:22
29:45|16:90,18:27,35:31,6:106
29:46|16:125,17:34,2:133,2:150,41:34,6:152,7:162
29:47|31:32
29:49|17:107,31:32
29:50|10:20,11:12,13:27,13:7,38:70,67:26,6:109,6:37,6:8
29:51|16:64,39:2,39:41,4:105
29:52|10:101,17:55,24:41,27:65,39:63,64:4
29:53|12:107,26:202,43:66,7:95
29:54|9:49
29:55|5:66
29:57|21:35,3:185
29:58|103:3,10:4,10:9,11:23,13:29,13:35,14:23,16:31,18:107,18:30,18:31,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,2:25,2:266,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:100,9:72,9:89
29:59|16:42
29:61|27:60,2:164,31:25,39:38,3:190,3:191,43:87,43:9
29:62|10:107,13:26,14:11,16:2,17:30,24:35,24:64,28:82,2:231,2:282,2:90,30:37,30:48,33:40,34:36,34:39,39:52,40:15,42:12,48:26,49:16,4:126,4:176,58:7,5:97,64:11,6:88,7:128,8:75,9:115
29:63|13:17,14:32,16:10,16:101,16:65,16:75,20:53,21:24,22:63,27:61,2:164,2:22,30:24,31:25,35:27,39:21,39:29,43:11,6:99
29:64|40:39,6:32
29:65|10:22,17:67,31:32,39:11,39:2,40:14,7:29,98:5
29:67|16:72,27:86
29:68|10:17,11:18,18:15,23:38,34:8,39:32,39:60,3:94,42:24,61:7,6:144,6:21,6:93,7:37,7:89
