7:3|39:55,5:68
7:5|29:29,3:147
7:8|23:102
7:9|11:21,23:103
7:10|15:20
7:11|17:61,18:50,20:116,2:34
7:12|38:75,38:76
7:14|15:36,38:79
7:15|15:37,38:80
7:17|13:11,20:110,21:28,22:76,2:255,34:9,41:14,41:25,46:21,72:27
7:19|2:35
7:22|20:121,35:6
7:24|2:36
7:26|18:17,36:60
7:28|10:68,13:27,2:169,2:80,6:37
7:29|29:65,31:32,40:65
7:30|4:119
7:31|6:141
7:32|10:24,10:5,30:28,40:51,41:44,9:11
7:33|10:68,22:71,2:169,2:80,3:151,4:171,6:151,6:81
7:34|10:49,16:61,35:45
7:35|10:62,2:112,2:262,2:274,2:277,2:38,2:62,36:60,39:71,3:170,46:13,5:69,6:130,6:48
7:36|10:27,13:5,2:217,2:257,2:275,2:39,2:81,3:116,58:17
7:37|10:106,10:17,10:66,11:101,11:18,16:20,18:15,19:48,22:12,22:73,23:38,29:68,34:8,35:40,39:38,3:94,40:66,40:74,42:24,46:4,46:5,5:116,61:7,6:108,6:130,6:144,6:21,6:56,6:93
7:38|13:30,38:61,3:137,3:144,41:25,46:18,48:23,5:75
7:39|11:27,3:106,46:34,6:30,8:35
7:42|103:3,10:26,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,23:62,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:107,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,6:152,84:25,85:11,95:6,98:7
7:43|10:9,13:35,14:23,15:47,16:31,18:31,20:76,22:14,22:23,23:28,25:10,27:15,29:58,2:25,2:266,35:34,39:20,39:74,3:136,3:15,3:195,3:198,43:72,47:12,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,85:11,98:8,9:72,9:89
7:44|11:18
7:45|11:19,14:3,16:88,22:25,38:26,3:99,47:1,47:32,47:34,4:167,58:16,63:2,8:36,8:47,9:34
7:49|10:62,43:68
7:50|36:47,59:20
7:51|41:28,45:35,6:70
7:52|12:111,16:64
7:53|10:30,11:21,16:87,26:207,28:75,35:37,3:24,41:48,6:24
7:54|10:3,11:7,13:2,14:19,14:32,16:12,17:99,25:59,32:4,36:81,40:64,46:33,50:38,57:4,6:1,6:73
7:55|2:190,5:87
7:56|2:11
7:57|25:48,27:63
7:59|11:25,11:26,11:3,11:50,11:61,11:84,23:23,23:32,26:135,28:38,29:14,29:36,43:51,46:21,71:1
7:60|12:30,23:33
7:61|27:46,43:51
7:62|12:86,12:96
7:64|10:73,21:77
7:65|11:50,11:61,11:84,23:23,23:32,28:38,29:36,36:20
7:66|11:27,23:24
7:67|27:46,43:51
7:70|11:32,14:10,46:22
7:71|10:102,10:20,12:40,53:23
7:73|11:50,11:61,11:64,11:84,23:23,23:32,26:156,27:45,28:38,29:36,36:20,6:157
7:74|11:85,26:183,29:36,2:60
7:75|34:34,43:24
7:76|40:48
7:77|11:32,46:22,51:44
7:78|11:67,11:94,29:37
7:79|12:84
7:80|27:54,29:28
7:81|27:55,36:19
7:82|27:56,29:24,29:29,3:147
7:83|27:57,29:32,29:33
7:84|10:39,10:73,16:36,27:14,27:51,27:69,28:40,30:42,37:73,3:137,43:25
7:85|11:50,11:61,11:84,11:85,11:86,16:95,23:23,23:32,26:183,28:38,29:16,29:36,2:11,2:184,2:248,2:280,2:54,36:20,3:49,61:11,62:9,6:157,9:41
7:86|11:19,12:109,14:3,16:36,16:88,22:25,22:9,27:14,27:69,30:42,30:9,35:44,3:137,3:99,40:21,40:82,47:1,47:10,47:32,47:34,4:167,6:11,8:47,9:34
7:89|10:17,10:85,11:18,12:76,14:11,18:15,18:24,23:38,24:16,29:68,34:8,42:24,6:111,6:144,6:21,6:71,6:80,6:93,74:56,76:30,81:29
7:90|11:27,23:24
7:91|11:67,11:94,29:37
7:92|11:68,11:95
7:93|12:84
7:94|34:34,43:23,6:42
7:95|12:107,26:202,29:53,43:66
7:99|12:87
7:100|63:3,9:87,9:93
7:101|10:13,10:74,30:59,30:9,40:35,5:32,9:70
7:103|10:39,10:73,10:75,16:36,27:14,27:51,27:69,28:40,30:42,37:73,3:137,43:25,43:46
7:105|20:47,3:49,4:171
7:106|26:31
7:107|26:32
7:108|26:33
7:109|26:34
7:110|26:35
7:112|26:37
7:113|26:41
7:115|20:65,5:22,5:24
