2:1|29:1,30:1,31:1,32:1,3:1
2:2|10:37,32:2
2:3|22:35,8:3
2:4|13:36,3:199,4:162,4:60,5:59
2:5|31:5
2:6|36:10
2:8|29:10
2:9|3:69,6:123,6:26
2:10|10:4,6:70,9:125
2:11|37:35,4:97
2:13|36:45
2:14|3:119
2:15|7:186
2:19|71:7
2:20|11:12,11:4,16:77,18:45,22:17,22:6,24:45,29:20,30:50,33:27,33:52,35:1,3:165,3:189,3:26,3:29,41:39,41:53,42:9,46:33,48:21,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,8:41,9:39
2:22|13:17,14:32,16:10,16:65,20:53,22:63,23:18,25:48,29:63,30:24,31:10,35:27,39:21,40:64,43:10,43:11,67:15,6:99
2:23|10:38,11:13,22:5,24:2,3:64
2:25|103:3,10:4,10:9,11:23,13:29,13:35,14:23,16:31,17:9,18:107,18:2,18:30,18:31,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,29:58,29:7,29:9,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:72,9:89
2:26|11:17,22:54,28:53,74:31
2:27|13:21,13:25
2:28|22:66
2:29|13:18,57:3,5:36,6:101
2:30|15:28,38:71
2:32|40:8,5:109,60:5
2:33|12:96,18:75,24:29,27:25,35:38,49:18,5:99,64:4
2:34|17:61,18:50,20:116,38:74,7:11
2:35|7:19
2:36|7:24
2:37|9:104,9:118
2:38|10:62,20:123,3:170,46:13,5:69,6:48,7:35
2:39|10:27,13:5,22:57,30:16,3:116,57:19,58:17,5:10,5:86,64:10,7:36
2:41|5:44
2:42|3:71
2:43|22:41,22:78,24:56,4:77,58:13,73:20,9:11,9:5
2:49|14:6,7:141
2:52|24:47
2:54|10:71,14:6,29:16,5:20,61:11,61:5,62:9,7:85,9:104,9:118,9:41
2:55|17:90,4:153
2:57|16:118,16:33,20:80,20:81,29:40,30:9,7:160,9:70
2:58|7:161
2:59|29:34,7:162
2:60|11:85,26:183,29:36,7:160,7:74
2:61|36:36,3:112,3:21,59:13,5:78
2:62|10:62,22:17,3:170,3:199,46:13,4:39,5:69,65:2,6:48,7:35,9:18,9:19,9:99
