2:1|3:1
2:4|3:199
2:9|3:69
2:14|3:119
2:20|3:26,3:29,3:165,3:189
2:25|3:15,3:57,3:136,3:195,3:198
2:38|3:170
2:39|3:116
2:42|3:71
2:61|3:21,3:112
2:62|3:170,3:199
2:74|3:99
2:76|3:119
2:79|3:37,3:78,3:126,3:187
2:80|3:24
2:81|3:116
2:82|3:57,3:107
2:85|3:99
2:86|3:88
2:94|3:168
2:96|3:163
2:97|3:3
2:101|3:100,3:186
2:103|3:198
2:104|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:105|3:69,3:74
2:106|3:26,3:29,3:165,3:189
2:107|3:79,3:189
2:109|3:26,3:29,3:69,3:165,3:189,3:199
2:110|3:37,3:120,3:156,3:159
2:112|3:170
2:117|3:47,3:59
2:127|3:35
2:132|3:33,3:102
2:135|3:67,3:95
2:136|3:84,3:199
2:137|3:20
2:140|3:84,3:99
2:143|3:144
2:144|3:99,3:100,3:186
2:145|3:61
2:147|3:60
2:148|3:26,3:29,3:165,3:189
2:149|3:99
2:153|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:154|3:13,3:169
2:161|3:87,3:91
2:162|3:88
2:163|3:2,3:6,3:18
2:164|3:190,3:191
2:172|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:173|3:89,3:155
2:174|3:77,3:187
2:178|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:182|3:89,3:155
2:183|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:189|3:130,3:200
2:190|3:167,3:169
2:192|3:89
2:195|3:146
2:197|3:115
2:199|3:89,3:155
2:208|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:209|3:105
2:210|3:109
2:212|3:27,3:37
2:213|3:105
2:214|3:142
2:215|3:92,3:115
2:216|3:66
2:217|3:22,3:116
2:219|3:103
2:222|3:159
2:226|3:89
2:228|3:114
2:231|3:103,3:154
2:232|3:66,3:114
2:233|3:120,3:156
2:234|3:156,3:180
2:235|3:155
2:237|3:120,3:156
2:242|3:103
2:243|3:23
2:244|3:167,3:169
2:246|3:13,3:146,3:157,3:167
2:247|3:73
2:248|3:49
2:250|3:147
2:251|3:152
2:252|3:108
2:253|3:105
2:254|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:255|3:2,3:6,3:18,3:29,3:109,3:129
2:257|3:116
2:258|3:23,3:86
2:259|3:26,3:29,3:165,3:189
2:261|3:73
2:262|3:170,3:199
2:264|3:86,3:100,3:102,3:114,3:118,3:130,3:149,3:156,3:200
2:265|3:156,3:180
2:266|3:15,3:103,3:136,3:195,3:198
2:267|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:269|3:7
2:270|3:192
2:271|3:156,3:180
2:272|3:92
2:273|3:92
2:274|3:170,3:199
2:275|3:116
2:277|3:57,3:170,3:199
2:278|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:281|3:25,3:161
2:282|3:100,3:102,3:118,3:130,3:149,3:156,3:200
2:284|3:26,3:29,3:109,3:129,3:165,3:189
2:285|3:84
2:286|3:147
