2:1|4:1
2:4|4:60,4:162
2:11|4:97
2:20|4:85
2:25|4:13,4:57,4:122,4:173
2:43|4:77
2:55|4:153
2:62|4:39
2:64|4:83,4:113
2:79|4:78
2:82|4:57,4:122,4:173
2:83|4:36,4:77
2:91|4:60
2:104|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:105|4:159
2:106|4:85
2:107|4:123,4:173
2:109|4:85,4:115,4:159
2:110|4:11,4:77
2:112|4:125
2:113|4:141
2:116|4:170,4:171
2:136|4:60,4:162,4:163
2:140|4:92,4:163
2:148|4:85
2:150|4:165
2:151|4:113
2:153|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:154|4:74,4:84
2:158|4:128
2:160|4:146
2:163|4:87
2:169|4:171
2:172|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:174|4:10
2:176|4:157
2:177|4:39
2:178|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:180|4:18
2:183|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:184|4:25,4:43
2:185|4:43
2:188|4:29
2:190|4:74,4:75,4:76
2:195|4:84
2:196|4:92
2:197|4:127
2:198|4:101
2:199|4:106
2:208|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:209|4:153
2:213|4:105,4:153
2:215|4:127
2:216|4:19
2:217|4:167
2:229|4:19
2:230|4:128
2:231|4:126,4:176
2:232|4:59
2:233|4:128
2:234|4:24
2:235|4:24
2:243|4:44,4:49,4:51,4:60,4:77
2:244|4:75,4:76
2:246|4:74,4:77,4:84,4:89,4:100
2:253|4:153
2:254|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:255|4:87,4:126,4:131,4:132,4:171
2:258|4:44,4:49,4:51,4:60,4:77
2:259|4:85
2:264|4:19,4:29,4:38,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:266|4:13,4:57,4:122
2:267|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:270|4:127
2:272|4:49
2:273|4:127
2:277|4:57,4:77,4:122,4:173
2:278|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:135,4:136,4:144
2:280|4:25
2:282|4:19,4:29,4:43,4:47,4:59,4:71,4:94,4:101,4:135,4:136,4:144,4:176
2:284|4:85,4:126,4:131,4:132,4:171
2:285|4:136
