2:2|10:37,32:2
2:3|8:3,22:35
2:4|5:59,13:36
2:5|31:5
2:6|36:10
2:8|29:10
2:9|6:26,6:123
2:10|6:70,9:125,10:4
2:11|37:35
2:13|36:45
2:15|7:186
2:19|71:7
2:20|5:17,5:19,5:40,5:120,6:17,8:41,9:39,11:4,11:12,16:77,18:45,22:6,22:17,24:45,29:20,30:50,33:27,33:52,35:1,41:39,41:53,42:9,46:33,48:21,57:2,58:6,59:6,64:1,65:12,66:8,67:1,85:9
2:22|6:99,13:17,14:32,16:10,16:65,20:53,22:63,23:18,25:48,29:63,30:24,31:10,35:27,39:21,40:64,43:10,43:11,67:15
2:23|10:38,11:13,22:5,24:2
2:25|5:9,5:12,5:85,5:93,5:119,7:42,7:43,9:72,9:89,10:4,10:9,11:23,13:29,13:35,14:23,16:31,17:9,18:2,18:30,18:31,18:107,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,29:7,29:9,29:58,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:2,47:12,48:5,48:17,48:29,57:12,58:22,61:12,64:9,65:11,66:8,84:25,85:11,95:6,98:7,98:8,103:3
2:26|11:17,22:54,28:53,74:31
2:27|13:21,13:25
2:28|22:66
2:29|5:36,6:101,13:18,57:3
2:30|15:28,38:71
2:32|5:109,40:8,60:5
2:33|5:99,12:96,18:75,24:29,27:25,35:38,49:18,64:4
2:34|7:11,17:61,18:50,20:116,38:74
2:35|7:19
2:36|7:24
2:37|9:104,9:118
2:38|5:69,6:48,7:35,10:62,20:123,46:13
2:39|5:10,5:86,7:36,10:27,13:5,22:57,30:16,57:19,58:17,64:10
2:41|5:44
2:43|9:5,9:11,22:41,22:78,24:56,58:13,73:20
2:49|7:141,14:6
2:52|24:47
2:54|5:20,7:85,9:41,9:104,9:118,10:71,14:6,29:16,61:5,61:11,62:9
2:55|17:90
2:57|7:160,9:70,16:33,16:118,20:80,20:81,29:40,30:9
2:58|7:161
2:59|7:162,29:34
2:60|7:74,7:160,11:85,26:183,29:36
2:61|5:78,36:36,59:13
2:62|5:69,6:48,7:35,9:18,9:19,9:99,10:62,22:17,46:13,65:2
2:63|7:171
2:64|24:10,24:14,24:20,24:21
2:65|7:166
2:67|5:20,14:6,61:5
2:74|9:27
2:75|9:6
2:77|9:78,11:5,16:19,16:23,29:42,36:76
2:78|45:24
2:79|8:10
2:80|7:28,7:33,10:68
2:81|7:36,10:27,13:5,58:17
2:82|5:9,5:93,7:42,10:4,10:9,10:26,11:23,13:29,14:23,18:30,18:107,19:96,22:14,22:23,22:50,22:56,26:227,29:7,29:9,29:58,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:2,47:12,48:29,65:11,84:25,85:11,95:6,98:7,103:3
2:83|5:70,8:41,9:5,9:11,11:26,17:23,22:41,22:78,24:56,58:13,59:7,73:20
2:85|10:98,18:104,39:26,40:51,41:16
2:86|43:50
2:87|5:70,11:110,23:49,25:35,28:43,32:23,41:45
2:89|28:49,41:52,46:10
2:90|9:15,14:11,16:2,40:15,59:6
2:91|31:21,35:31,36:45,42:15
2:92|29:39
2:93|7:171
2:94|62:6
2:95|62:7
2:96|5:71,49:18
