44:1|40:1,41:1,42:1,43:1,45:1,46:1
44:2|43:2
44:3|97:1
44:6|12:34,17:87,26:220,41:36,8:61
44:7|10:101,15:85,16:77,19:65,25:59,26:24,26:28,30:8,32:4,37:5,38:10,38:66,43:85,46:3,50:38,5:17,5:18,78:37
44:8|11:14,13:30,20:8,20:98,23:116,26:26,27:26,28:70,28:88,2:163,2:255,35:3,37:126,39:6,3:18,3:2,3:6,40:3,40:62,40:65,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
44:9|27:66,38:8
44:18|26:107,26:125,26:143,26:162,26:178
44:20|40:27
44:22|43:88
44:30|45:16
44:35|37:59
44:36|45:25
44:38|15:85,19:65,21:16,25:59,26:24,30:8,32:4,37:5,38:10,38:66,42:29,43:85,46:3,50:38,5:17,5:18,78:37
44:39|10:55,28:13,28:57,39:49,52:47,6:37,7:131,8:34
44:41|52:46
44:42|12:87,29:26
44:49|2:129,40:8,60:5
44:52|26:147
44:57|10:64,40:9,57:12,9:111,9:72
