35:1|11:12,11:4,16:77,18:45,22:17,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,33:52,39:46,3:165,3:189,3:26,3:29,41:39,41:53,42:11,42:9,46:33,48:21,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,8:41,9:39
35:3|10:31,11:14,13:30,14:6,20:8,20:98,23:116,27:26,27:64,28:70,28:71,28:72,28:88,2:163,2:231,2:255,33:9,39:6,3:103,3:18,3:2,3:6,40:3,40:62,40:65,44:8,4:87,59:22,59:23,5:11,5:20,64:13,6:102,6:106,6:46,73:9,7:158,9:129,9:31
35:4|22:42,22:76,2:210,3:109,3:184,57:5,6:34,8:44
35:5|10:108,10:23,10:55,10:57,18:21,22:49,28:13,30:60,31:33,40:55,40:77,45:32,46:17,49:13,7:158
35:6|7:22
35:7|103:3,10:4,10:9,11:11,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:73,5:9,5:93,65:11,67:12,7:42,84:25,85:11,95:6,98:7,9:90
35:8|10:25,10:36,13:27,14:4,16:28,16:93,31:23,3:119,47:14,5:7,74:31
35:9|16:65,2:164,30:19,30:24,30:48,45:5
35:11|18:37,22:5,22:70,29:19,33:19,33:30,40:67,41:47,4:169,4:30,57:22,64:7
35:12|16:14,25:53,28:73,30:46,45:12
35:13|13:14,13:2,17:56,22:61,31:29,39:5,39:6,3:27,40:20,57:6,6:102,7:197
35:15|10:104,10:23,22:49,22:5,31:26,49:13,57:24,60:6,7:158
35:16|14:19
35:17|14:20,33:19,33:30,4:169,4:30
35:18|17:15,21:49,39:7,3:28,53:38,5:106,67:12,6:152,6:164
35:19|40:58
35:23|26:115,7:188
35:24|2:119
35:25|22:42,29:18,67:18
35:27|13:17,14:19,14:32,16:10,16:65,20:53,22:18,22:63,22:65,24:41,24:43,29:63,2:22,30:24,31:20,31:29,31:31,39:21,43:11,58:7,6:99
35:29|13:22,14:31
35:30|4:173
35:31|29:45,2:91,2:97,3:3,42:13,46:30,5:46,5:48,61:6
35:32|10:64,42:22
35:33|18:31,22:23
35:34|14:39,27:15,39:74,7:43
35:35|15:48
35:37|22:71,7:53
35:38|11:5,25:6,2:33,31:23,39:7,3:119,42:24,49:18,5:7,67:13,8:43
35:39|10:14,30:44,6:165
35:40|10:106,10:66,11:101,16:20,19:48,22:12,22:73,39:38,40:66,46:4,46:5,6:108,6:56,7:194,7:37
35:41|17:44
35:42|16:38,24:53,5:53,6:109
35:43|33:62,48:23
35:44|10:18,10:66,10:68,12:109,14:2,16:36,16:49,20:6,22:18,22:46,22:64,27:69,27:87,29:20,2:255,2:284,30:42,30:9,31:20,34:1,34:22,34:3,39:68,3:109,3:129,3:137,3:29,40:21,40:82,42:4,42:53,45:13,47:10,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1,6:11,7:129,7:86
35:45|14:10,16:61,71:4,7:34
