25:2|17:111,24:42,2:107,38:10,39:44,3:189,42:49,43:85,45:27,46:33,48:14,57:2,57:5,5:120,5:17,5:18,5:40,7:158,85:9,9:116
25:3|10:49,16:20,18:15,21:24,7:191
25:4|11:7,12:31,34:31,34:43,34:7,6:25,6:7
25:6|10:55,10:6,16:52,19:93,31:26,33:24,35:38,4:106,4:129,4:23
25:7|6:8
25:8|17:47,17:91,2:266
25:9|17:48
25:10|10:9,13:35,14:23,16:31,18:31,20:76,22:14,22:23,29:58,2:25,2:266,39:20,3:136,3:15,3:195,3:198,47:12,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,7:43,85:11,98:8,9:72,9:89
25:16|16:31
25:17|10:104,10:18,16:73,19:49,21:67,21:98,22:71,29:17,5:76,60:4
25:21|10:15
25:30|26:117
25:31|6:112
25:32|13:27,13:7,34:3,41:26
25:34|5:60
25:35|11:110,23:49,28:43,2:87,32:23,41:45
25:36|21:77,62:5,7:176,7:177
25:41|21:36
25:43|45:23
25:44|7:179
25:47|10:67,40:61,67:15,6:97
25:48|14:32,15:22,20:53,23:18,27:63,2:22,31:10,50:9,7:57
25:50|17:89
25:53|35:12
25:55|10:104,10:106,10:18,16:73,18:43,19:49,21:66,21:67,21:98,22:71,22:73,26:93,28:81,29:17,40:66,42:46,5:116,5:76,60:4,6:56,6:71,9:16
25:56|17:105
25:57|12:104,26:109,26:127,26:145,26:164,26:180,38:86,42:23,6:90,73:19,76:29
25:59|10:3,11:7,13:2,14:19,14:32,15:85,17:99,18:51,19:65,26:24,2:107,30:8,32:4,36:81,37:5,38:10,38:66,42:29,43:85,44:38,44:7,46:3,46:33,50:38,57:4,5:120,5:17,5:18,6:1,6:73,78:37,7:54
25:61|15:16
25:68|15:96,17:22,17:33,17:39,23:117,26:213,28:88,50:26,51:51,6:151
25:70|19:60,20:82,28:67,33:5,33:50,33:59,33:73,48:14,4:100,4:152,4:96
