41:1|40:1,42:1,43:1,44:1,45:1,46:1
41:4|36:7
41:6|18:110,21:108
41:7|11:19,12:37,27:3,31:4
41:8|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
41:12|36:38,67:5,6:96
41:14|11:2,11:26,12:40,13:11,14:9,17:23,20:110,21:28,22:76,2:255,34:34,34:9,43:24,46:21,72:27,7:17
41:15|10:23,17:99,28:39,28:78,30:37,40:21,40:75,42:42,46:20,46:33,7:146
41:16|10:98,13:34,2:85,39:26,54:19
41:18|10:63,12:57,27:53
41:21|20:50
41:25|13:30,13:6,19:64,20:110,21:28,22:76,2:255,34:9,36:45,3:137,3:144,46:18,48:23,5:75,7:17,7:179,7:38
41:26|25:32,34:31,34:7
41:28|7:51
41:30|46:13
41:31|10:64,13:26,14:27,14:3,16:107,18:104,9:38
41:34|23:96,29:46
41:36|12:34,26:220,40:56,44:6,7:200,8:61
41:37|16:114,16:12,21:33,2:172
41:39|11:4,16:77,18:45,22:17,22:5,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,33:52,33:55,35:1,3:165,3:189,3:26,3:29,42:9,46:33,48:21,4:33,4:85,4:86,57:2,59:6,5:117,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,8:41,9:39
41:40|11:112,2:110,2:233,2:237,34:11
41:42|13:11,46:21,72:27
41:43|13:6
41:44|7:32
41:45|10:19,11:110,20:129,23:49,25:35,28:43,2:87,32:23,42:14
41:46|45:15
41:47|35:11
41:48|10:30,11:21,16:87,26:207,28:75,6:24,6:28,7:53
41:50|10:21,11:10,18:36
41:51|17:83
41:52|28:49,2:89,46:10,4:78
41:53|16:77,18:45,22:17,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,33:27,33:52,33:55,34:47,35:1,3:165,3:26,46:33,48:21,4:33,4:85,4:86,58:6,5:117,65:12,66:8,85:9
