40:1|41:1,42:1,43:1,44:1,45:1,46:1
40:2|39:1,45:2,46:2
40:3|11:14,13:30,20:8,20:98,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,3:18,3:2,3:6,44:8,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
40:4|36:47
40:5|13:32,18:56,22:42,38:12,50:12,54:9
40:6|10:33
40:8|13:23,2:129,2:32,44:49,5:118,60:5
40:9|10:64,44:57,45:30,57:12,6:16,9:111,9:72
40:13|27:60,8:11
40:14|10:22,29:65,31:32,39:11,39:2,98:5
40:15|14:11,16:2,28:82,29:62,2:90,34:39,9:15
40:16|14:38
40:17|13:33,14:51,20:15,2:281,3:161,3:19,3:199,3:25,45:22,5:4,6:70,74:38
40:20|13:14,16:20,17:1,22:62,35:13,43:86,7:197
40:21|10:27,11:20,12:109,13:34,16:36,22:46,27:69,29:20,30:42,30:9,33:47,35:44,3:137,41:15,42:46,47:10,6:11,7:129,7:86
40:22|64:6,8:52
40:23|11:96,14:5,43:46
40:25|10:76,13:14,28:48
40:26|19:45,26:12
40:27|44:20
40:28|12:52,16:107,16:37,39:3
40:31|14:9,22:42,3:108,9:70
40:33|10:27,13:33,22:18,39:23,39:36,39:37,42:44,42:46,4:143,4:88
40:34|16:38,74:31
40:35|30:59,61:3,7:101
40:36|28:38
40:37|28:38
40:39|29:64
40:40|16:97,4:124,6:160
40:42|11:46,11:47,17:36,22:71,24:15,29:8,31:15,3:66,5:116
40:43|59:3,5:33
40:44|13:11,59:18,5:8
40:47|14:21
40:48|7:76
40:50|13:14
40:51|18:104,2:85,7:32
40:52|13:25
40:55|10:55,18:21,28:13,30:60,31:33,35:5,45:32,46:17
40:56|17:1,41:36,8:61
40:57|11:17,12:21,12:38,12:40,12:68,13:1,16:38,2:243,30:30,30:6,34:28,34:36,45:26,7:187
40:58|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:19,35:7,38:24,38:28,3:57,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
40:59|11:17,12:21,12:38,12:40,12:68,13:1,16:38,22:7,2:243,30:30,30:6,34:28,34:36,45:26,7:187
40:61|10:60,10:67,11:17,12:21,12:38,12:40,12:68,13:1,16:38,25:47,27:73,27:86,2:243,2:251,30:30,30:6,34:28,34:36,45:26,7:187
40:62|11:14,13:30,20:8,20:98,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,3:18,3:2,3:6,44:8,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
40:63|10:95,3:4,62:5
40:64|20:53,2:22,43:10,67:15,7:54,8:26
40:65|10:10,11:14,13:30,1:2,20:14,20:8,20:98,23:116,27:26,28:70,28:88,2:163,2:255,35:3,37:182,39:6,39:75,3:18,3:2,3:6,44:8,4:87,59:22,59:23,64:13,6:102,6:106,6:45,73:9,7:158,7:29,9:129,9:31
40:66|10:106,10:18,10:66,11:101,11:113,11:20,16:20,16:73,18:43,19:48,21:66,22:12,22:71,22:73,25:55,28:81,29:17,29:22,2:107,33:17,34:22,35:40,39:38,42:31,42:46,46:4,46:5,4:123,4:173,5:76,6:108,6:56,6:71,7:194,7:37,9:116,9:16
40:67|18:37,22:5,35:11
40:68|16:40,19:35,23:80,2:117,36:82,3:47,3:59
40:73|26:92
40:74|5:116,7:37
40:75|10:23,28:39,41:15,42:42,46:20,7:146
40:76|16:29,39:72
40:77|10:46,10:55,13:40,18:21,28:13,30:60,31:33,35:5,45:32,46:17
40:78|13:38
40:80|23:22
40:82|12:109,15:84,16:36,22:46,26:207,27:69,29:20,30:42,30:9,35:44,39:50,3:137,47:10,6:11,7:129,7:86
40:83|11:8,14:9,15:11,16:34,21:41,26:6,36:30,39:48,43:7,45:33,46:26,6:10,6:5
40:85|48:23
