22:1|31:33,4:1
22:3|31:20
22:5|10:104,10:108,10:23,10:57,16:70,2:23,35:11,35:15,40:67,41:39,49:13,50:7,7:158
22:6|11:12,11:4,16:77,24:25,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,31:30,33:27,33:55,35:1,3:165,3:189,3:26,3:29,41:39,41:53,42:9,46:33,48:21,4:33,4:86,57:2,58:6,59:6,5:117,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,8:41,8:53,9:39
22:7|18:21,40:59
22:8|31:20
22:9|2:114,31:6,38:26,3:99,47:34,4:167,58:16,5:41,6:116,7:86
22:10|3:182,8:51
22:11|2:204,39:15
22:12|10:106,10:18,10:66,11:101,14:18,16:20,18:43,19:48,26:93,28:81,35:40,39:38,40:66,42:46,46:4,46:5,5:116,6:108,6:56,6:71,7:194,7:37,9:16
22:14|103:3,10:4,10:9,11:23,13:29,13:35,14:23,16:31,18:107,18:30,18:31,19:96,20:76,25:10,26:227,29:58,29:7,29:9,2:25,2:253,2:266,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:72,9:89
22:15|24:19,33:57
22:16|28:56,2:272
22:17|10:60,11:12,16:77,18:45,24:45,29:20,2:106,2:109,2:148,2:20,2:218,2:259,2:284,2:62,32:25,33:27,33:52,33:55,34:47,35:1,3:165,3:189,3:29,41:39,41:53,46:33,48:21,4:33,4:85,58:6,58:7,59:6,5:117,5:17,5:19,5:40,5:69,65:12,85:9,8:41,9:39
22:18|10:18,10:66,10:68,13:33,14:19,14:2,16:49,20:6,24:41,24:43,27:87,2:255,2:284,31:20,31:29,31:31,34:1,34:22,34:3,35:27,35:44,39:21,39:23,39:36,39:37,39:68,3:109,3:129,3:29,3:40,40:33,42:4,42:44,42:46,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1
22:22|32:20
22:23|103:3,10:4,10:9,11:23,13:29,13:35,14:23,16:31,18:107,18:30,18:31,19:96,20:76,25:10,26:227,29:58,29:7,29:9,2:25,2:266,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:33,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:72,9:89
22:25|11:19,14:3,16:88,3:99,47:1,47:32,47:34,4:167,7:45,7:86,8:36,8:47,9:34
22:28|2:203
22:30|5:1
22:35|2:3,8:2,8:3
22:37|2:185
22:38|2:276,31:18,4:107,4:36,57:23
22:40|2:251,3:147,57:25,58:21
22:41|24:56,2:110,2:277,2:43,2:83,3:104,3:110,3:114,4:77,58:13,6:6,73:20,9:11,9:5,9:71
22:42|14:9,35:25,35:4,38:12,40:31,40:5,50:12,54:9,9:70
22:44|13:32
22:45|18:42,2:259
22:46|12:109,30:9,35:44,40:21,40:82,47:10
22:47|30:6,32:5
22:49|10:104,10:108,10:23,11:25,27:16,35:15,35:5,49:13,71:2,7:158
22:50|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,24:26,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,8:74,95:6,98:7
22:51|34:38,34:5
22:52|12:109,16:43,21:25,24:59,43:23,43:45
22:53|33:12,33:60,47:20,47:29,5:52,74:31,8:49,9:125
22:54|11:17,16:27,17:107,28:53,2:144,2:26
22:55|13:31
22:56|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
22:57|2:39,30:16,31:6,45:9,57:19,5:10,5:86,64:10
22:58|4:89
22:60|16:126,58:2
22:61|31:28,31:29,35:13,3:27,47:11,57:6,58:1
22:62|13:14,24:25,29:42,31:30,40:20,8:53
22:63|13:17,14:19,14:32,16:10,16:65,20:53,24:41,24:43,29:63,2:22,30:24,31:16,31:20,31:29,31:31,35:27,39:21,43:11,58:7,6:99
22:64|10:18,10:66,10:68,14:2,16:49,20:6,27:87,28:77,2:255,2:284,31:20,31:26,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,42:4,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,57:24,58:7,59:1,5:97,60:6,61:1,62:1,64:1
22:65|14:19,14:32,24:41,24:43,2:143,31:20,31:29,31:31,35:27,39:21,58:7
22:66|2:28,30:40
22:68|18:26
22:69|10:93,16:124,16:92,2:113,32:25,3:55,45:17,4:141,5:48,6:164
22:70|27:75,29:19,2:106,2:107,33:19,33:30,35:11,4:169,4:30,57:22,5:40,64:7
