15:1|10:1,12:1,13:1
15:2|2:105,4:102
15:4|26:208,28:58
15:5|23:43
15:10|30:47
15:11|11:8,16:34,21:41,26:6,36:30,39:48,40:83,43:7,45:33,46:26,51:52,6:10,6:5
15:14|23:77,4:153
15:16|25:61
15:19|26:7,31:10,50:7
15:20|7:10
15:21|17:44
15:22|23:18,25:48,31:10,50:9
15:26|23:12,55:14
15:28|2:30,38:71
15:29|38:72
15:30|38:73
15:34|38:77
15:36|38:79,7:14
15:37|38:80,7:15
15:38|38:81
15:40|38:83
15:42|17:65
15:45|51:15
15:47|7:43
15:48|35:35
15:52|51:25
15:55|6:114
15:57|51:31
15:58|11:70,51:32
15:65|11:81
15:69|11:78
15:74|11:82
15:77|29:44
15:82|26:149
15:84|26:207,39:50,40:82
15:85|19:65,25:59,26:24,30:8,32:4,37:5,38:10,38:27,38:66,42:29,43:85,44:38,44:7,46:3,50:38,5:17,5:18,78:37
15:88|20:131
15:96|17:22,17:39,23:117,25:68,26:213,28:88,50:26,51:51
