11:2|12:40,17:23,41:14,46:21,51:50,51:51
11:3|26:135,46:21,7:59
11:4|16:77,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,34:47,35:1,39:62,3:165,3:189,3:26,3:29,41:39,42:9,46:33,48:21,57:2,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:102,6:17,8:41,9:39
11:5|16:19,16:23,2:77,31:23,35:38,36:76,39:7,3:119,42:24,5:7,67:13,8:43
11:6|10:61,23:18,27:75,34:3,42:53,6:38,6:59
11:7|10:3,14:19,14:32,17:99,25:4,25:59,28:36,32:4,34:43,36:81,37:15,46:33,50:38,57:4,5:110,67:2,6:1,6:25,6:7,6:73,74:24,7:54
11:8|15:11,16:34,21:41,26:6,36:30,39:48,40:83,43:7,45:33,46:26,6:10,6:5
11:9|42:48
11:10|41:50
11:11|34:4,35:7,67:12,98:7
11:12|10:20,16:77,18:45,22:17,22:6,24:45,29:20,29:50,2:106,2:109,2:148,2:20,2:259,2:284,33:27,33:52,35:1,39:62,3:165,3:189,3:29,48:21,4:85,58:6,59:6,5:17,5:19,5:40,65:12,6:102,6:8,85:9,8:41,9:39
11:13|10:38,22:73,24:2,26:93,27:43,2:23,32:3,42:46,46:8,5:116,6:56
11:14|10:90,13:30,16:2,20:8,20:98,21:25,21:87,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,3:18,3:2,3:6,40:3,40:62,40:65,44:8,47:19,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
11:16|3:77,7:118,7:139
11:17|12:21,12:38,12:40,12:68,13:1,16:38,22:54,28:53,2:121,2:144,2:243,2:26,30:30,30:6,32:23,34:28,34:36,40:57,40:59,40:61,45:26,46:12,47:14,6:57,7:187
11:18|10:17,18:15,23:38,29:68,34:8,3:94,42:24,61:7,6:144,6:21,6:93,7:37,7:44,7:89
11:19|12:37,14:3,16:88,22:25,38:26,3:99,41:7,47:1,47:32,47:34,4:167,58:16,63:2,7:45,7:86,8:36,8:47,9:34
11:20|10:78,12:73,18:43,22:73,26:93,28:81,29:22,29:39,2:107,33:17,3:79,40:21,40:66,42:31,42:46,4:123,4:173,53:58,6:56,6:70,71:25,9:116
11:21|10:30,16:87,23:103,26:207,28:75,3:24,41:48,6:24,7:53,7:9
11:22|16:109,27:5
11:23|103:3,10:26,10:4,10:9,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:107,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
11:25|22:49,23:23,29:14,71:1,71:2,7:59
11:26|26:135,2:83,41:14,46:21,7:59
11:27|23:24,36:15,7:39,7:66,7:90
11:28|47:14,6:57
11:29|10:72,26:109,26:127,26:145,26:164,26:180,34:47,42:23,46:23,6:90
11:31|29:10,2:145,5:107,6:50
11:32|46:22,7:70,7:77
11:33|6:134
11:35|10:38,32:3,46:8
11:36|12:69
11:37|23:27
11:39|39:40
11:40|23:27,26:7,31:10,50:7
11:41|12:53
11:43|13:11
11:46|17:36,22:71,24:15,29:8,31:15,3:66,40:42
11:47|17:36,22:71,24:15,29:8,31:15,3:66,40:42,5:116,71:5
11:49|12:102,3:44
11:50|23:23,23:32,28:38,29:36,36:20,7:59,7:65,7:73,7:85
11:51|10:72,26:109,26:127,26:145,26:164,26:180,34:47,42:23,6:90
11:52|71:11
11:53|10:78,23:38,7:132
11:54|6:19,6:78
11:56|6:161
11:57|34:21,46:23,9:39
11:58|2:249
11:60|16:30,28:42,39:10,42:45,7:156
11:61|23:23,23:32,27:45,28:38,29:36,36:20,53:32,7:59,7:65,7:73,7:85
11:62|14:9
11:63|47:14,6:57
11:64|26:156,7:73
11:67|29:37,7:78,7:91
11:68|7:92
11:69|29:31,51:25
11:70|15:58,51:28,51:32
11:72|38:5
11:77|29:33
11:78|15:69
11:79|17:102
11:81|15:65
11:82|15:74
11:84|23:23,23:32,26:135,28:38,29:36,36:20,46:21,7:59,7:65,7:73,7:85
11:85|26:183,29:36,2:60,7:74,7:85
11:86|16:95,29:16,2:184,2:248,2:280,3:49,61:11,62:9,6:104,7:85,9:41
11:88|12:67,42:10,47:14,6:57
11:93|39:39,39:40,6:135
11:94|29:37,7:78,7:91
11:95|7:92
11:96|14:5,40:23,43:46
11:101|10:66,12:67,12:68,16:20,18:43,19:48,22:12,22:73,26:93,28:81,35:40,39:38,40:66,42:46,46:4,46:5,60:4,6:108,6:56,7:194,7:37
11:103|26:103,26:121,26:139,26:158,26:174,26:190,26:67,26:8,2:248,34:9,3:49
11:105|2:233
11:107|10:55
11:108|10:55
11:109|32:23
11:110|10:19,20:129,23:49,25:35,28:43,2:87,32:23,41:45,42:14
11:112|2:110,2:233,2:237,34:11,41:40
11:113|18:43,22:73,26:93,28:81,29:22,29:25,2:107,33:17,3:79,40:66,42:31,42:46,45:34,4:123,4:173,53:58,6:56,6:70,71:25,9:116
11:115|12:90,3:171,9:120,9:96
11:116|28:77
11:117|28:59,6:131
11:119|32:13
11:120|20:99
11:121|39:39,6:135
11:123|16:77,18:26,27:93,49:18,6:132
