14:1|34:6,57:9,5:16
14:2|10:18,10:66,10:68,16:49,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,42:4,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1
14:3|10:64,11:19,13:26,16:107,16:88,22:25,3:99,41:31,47:1,47:32,47:34,4:167,7:45,7:86,8:36,8:47,9:34,9:38
14:4|16:93,28:56,29:42,30:5,35:8,42:13,4:64,74:31
14:5|11:96,16:79,30:23,31:31,34:19,34:9,40:23,42:33,43:46
14:6|2:49,2:54,2:67,33:9,35:3,3:103,5:11,5:20,5:7,61:5,7:141
14:8|13:18,2:29,31:12,39:47,45:13,5:17,5:36,70:14,8:63
14:9|11:62,22:42,38:12,40:31,40:83,41:14,64:5,9:70
14:10|16:61,26:154,26:186,34:43,35:45,36:15,46:31,71:4,7:70
14:11|10:100,10:107,12:38,16:2,28:82,29:62,2:90,30:48,33:53,34:39,3:122,3:145,3:160,3:161,40:15,58:10,5:11,64:13,6:88,7:89,9:51
14:17|10:22
14:18|22:12,6:1
14:19|10:3,11:7,16:3,17:99,22:18,22:63,22:65,24:41,24:43,25:59,29:44,31:20,31:29,31:31,32:4,35:16,35:27,36:81,39:21,39:5,46:33,57:4,58:7,64:3,6:1,6:73,7:54
14:20|33:19,33:30,35:17,4:169,4:30
14:21|12:68,40:47
14:22|34:21,37:30,42:21
14:23|103:3,10:4,10:9,11:23,13:29,13:35,16:31,18:107,18:30,18:31,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,29:58,29:7,29:9,2:25,2:266,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:100,9:72,9:89
14:25|24:35
14:27|10:64,13:26,16:107,18:104,41:31,9:38
14:28|58:14
14:30|39:8
14:31|13:22,2:254,30:43,35:29,42:47
14:32|10:3,11:7,13:17,16:10,16:65,17:99,20:53,22:63,22:65,23:18,25:48,25:59,27:60,29:63,2:22,30:24,31:10,31:31,32:4,35:27,36:81,39:21,43:11,46:33,57:4,6:1,6:73,6:99,7:54
14:33|16:12
14:34|16:18
14:35|2:126,2:260
14:36|10:92
14:37|7:130
14:38|10:61,16:48,29:22,3:5,40:16,7:185
14:39|34:1,35:34
14:41|71:28
14:44|4:77,63:10
14:47|31:27,3:4,5:95,8:10,9:71
14:51|13:33,2:281,3:161,3:19,3:199,3:25,40:17,45:22,5:4,74:38
14:52|16:51,6:19
