17:1|40:20,40:56
17:2|32:23
17:3|19:58
17:9|18:2,2:25
17:10|16:22,16:60,23:74,27:4,4:18,53:27,6:150
17:12|10:5,2:198
17:15|10:108,27:92,35:18,39:41,39:7,53:38,6:164
17:21|2:253
17:22|15:96,23:117,25:68,26:213,28:88,50:26,51:51
17:23|11:2,12:40,2:83,41:14,46:21
17:26|30:38
17:30|13:26,28:82,29:62,30:37,34:36,34:39,39:52,42:12
17:33|25:68,6:151
17:34|29:46,6:152
17:35|4:59
17:36|11:46,11:47,22:71,24:15,29:8,31:15,3:66,40:42
17:37|31:18
17:39|15:96,23:117,25:68,26:213,28:88,50:26,51:51
17:41|18:54
17:44|15:21,35:41
17:45|16:22,16:60,23:74,6:150
17:46|18:57,6:25
17:47|25:8
17:48|25:9
17:51|27:72
17:52|23:114
17:53|16:125
17:55|10:55,13:15,16:52,19:93,21:19,24:41,24:64,27:65,29:52,2:116,30:26,31:26,3:83,45:3,4:170,55:29,57:1,59:24,64:4,6:12
17:56|16:54,34:22,35:13
17:58|33:6,7:164
17:61|18:50,20:116,2:34,7:11
17:64|4:120
17:65|15:42
17:66|30:45,4:29
17:67|29:65,31:32
17:68|67:17
17:70|45:16
17:71|69:19,84:7
17:80|4:75
17:82|71:24,71:28
17:83|41:51
17:87|28:86,33:2,44:6
17:89|25:50,30:58,39:27
17:90|2:55
17:91|25:8,2:266
17:94|18:55
17:95|19:75
17:96|10:29,13:43
17:97|18:17,39:37,7:178
17:99|10:3,11:7,14:19,14:32,25:59,30:37,32:4,36:81,41:15,46:33,57:4,6:1,6:73,7:54
17:102|11:79,26:24
17:105|25:56
17:107|16:27,22:54,29:49
17:111|23:28,25:2,27:15,34:1,6:1
