45:1|40:1,41:1,42:1,43:1,44:1,46:1
45:2|27:9,34:27,39:1,3:126,40:2,46:2
45:3|10:6,12:105,17:55
45:5|10:6,16:65,2:164,2:174,30:24,35:9,42:15,5:66
45:6|2:252,3:108
45:8|31:7
45:9|22:57,31:6,34:5
45:10|19:81,29:25,29:41,33:17,36:74,39:43,46:28,4:123,4:173,9:16
45:11|18:105,34:5
45:12|16:14,28:73,30:46,35:12
45:13|10:18,10:66,10:67,10:68,13:18,13:3,13:4,14:2,14:8,16:11,16:12,16:13,16:49,16:65,16:67,16:69,16:79,20:6,22:18,22:64,27:52,27:86,27:87,29:24,2:255,2:284,2:29,30:21,30:23,30:24,30:37,31:20,34:1,34:22,34:3,35:44,39:42,39:47,39:52,39:68,3:109,3:129,3:29,42:4,42:53,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:17,5:36,5:97,61:1,62:1,64:1,6:99,70:14,8:63
45:15|41:46
45:16|17:70,44:30
45:17|10:93,16:124,22:69,27:78,29:13,2:113,32:25,39:46,3:19,42:14,98:4
45:18|6:150
45:19|48:11,5:17
45:20|12:111,16:64,28:43,7:203
45:21|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
45:22|13:33,14:51,20:15,29:44,2:281,30:8,3:161,3:25,40:17,74:38
45:23|25:43
45:24|23:37,2:78,34:43,43:20,6:29
45:25|10:15,19:73,22:72,29:29,31:7,34:43,44:36,46:7,8:31
45:26|11:17,12:21,12:38,12:40,12:68,13:1,16:38,2:243,30:30,30:6,34:28,34:36,40:57,40:59,40:61,4:87,5:64,6:12,7:187
45:27|24:42,25:2,2:107,30:14,39:44,3:189,42:49,43:85,48:14,57:2,57:5,5:120,5:17,5:18,5:40,7:158,85:9,9:116
45:28|52:16,66:7
45:30|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,40:9,41:8,42:22,42:23,42:26,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
45:31|23:105
45:32|10:55,18:21,28:13,30:60,31:33,35:5,40:55,40:77,46:17
45:33|11:8,15:11,16:34,21:41,26:6,36:30,39:48,40:83,43:7,46:26,6:10,6:5
45:34|11:113,16:37,29:25,30:29,32:14,3:22,3:56,3:91,42:31
45:35|7:51
45:37|10:101,16:52,21:19,30:27,57:1,59:1,59:24,61:1
