18:1|57:9
18:2|17:9,2:25
18:4|10:68,2:116
18:5|4:157,53:28
18:10|3:8
18:14|13:16,21:56,43:82
18:15|10:17,11:18,21:24,23:38,25:3,29:68,34:8,3:94,42:24,61:7,6:144,6:21,6:93,7:37,7:89
18:17|17:97,7:178,7:26
18:19|12:10,23:113,2:259
18:21|10:55,22:7,28:13,30:60,31:33,35:5,40:55,40:77,45:32,46:17
18:24|12:76,6:111,74:56,76:30,7:89,81:29
18:26|11:123,13:11,16:77,22:68,32:4
18:27|29:45,6:115,72:22
18:28|6:52
18:29|10:108
18:30|103:3,10:4,10:9,11:23,13:29,14:23,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:170,7:42,84:25,85:11,95:6,98:7
18:31|10:9,13:35,14:23,16:31,20:76,22:14,22:23,25:10,29:58,2:25,2:266,35:33,39:20,3:136,3:15,3:195,3:198,47:12,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,76:13,7:43,85:11,98:8,9:72,9:89
18:36|41:50
18:37|35:11,40:67
18:39|10:49,20:14,20:8,27:26,28:70,2:255,3:2,4:87,64:13,6:128,7:188,87:7,9:129
18:42|22:45,2:259,69:25
18:43|10:106,10:18,11:101,11:113,11:20,16:20,16:73,21:66,22:12,22:71,25:55,28:81,29:17,29:22,2:107,33:17,34:22,40:66,42:31,42:46,46:5,4:123,4:173,5:76,6:70,6:71,9:116,9:16
18:45|10:24,11:12,16:77,22:17,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,33:27,33:52,35:1,3:165,3:189,3:29,41:39,41:53,46:33,48:21,4:133,4:85,58:6,59:6,5:17,5:19,5:40,65:12,85:9,8:41,9:39
18:46|19:76
18:48|6:94
18:49|9:121
18:50|17:61,20:116,2:34,7:11
18:51|25:59,32:4,42:29,46:33,7:185
18:52|28:64
18:54|17:41,30:58
18:55|17:94
18:56|40:5,6:48
18:57|17:46,32:22,6:25,7:193,7:198
18:68|27:22
18:69|28:27,37:102
18:75|12:96,2:33
18:82|28:86
18:84|27:16
18:88|28:80,34:37,65:4
18:90|19:7
18:104|10:64,14:27,29:25,2:85,30:7,40:51,41:31,4:109
18:105|45:11
18:107|103:3,10:4,10:9,11:23,13:29,14:23,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
18:110|21:108,29:5,41:6
