31:1|29:1,2:1,30:1,32:1,3:1
31:2|10:1
31:4|27:3,41:7,5:55,9:71
31:5|2:5
31:6|22:57,22:9,2:207,34:5,38:26,45:9
31:7|10:15,19:73,22:72,34:43,45:25,45:8,46:7,68:15,83:13,8:31
31:8|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
31:9|4:122
31:10|11:40,13:2,14:32,15:19,15:22,16:15,20:53,21:31,23:18,23:27,25:48,26:7,27:60,2:164,2:22,50:7,50:9
31:12|14:8,27:40,2:267,3:97
31:15|10:23,11:46,11:47,17:36,22:71,24:15,29:8,39:7,3:66,40:42,5:105,62:8,6:164,6:60,9:105,9:94
31:16|21:47,22:63,24:62,60:12
31:17|3:186,42:43
31:18|17:37,22:38,2:276,4:107,4:36,57:23
31:20|10:18,10:66,10:68,14:19,14:2,16:49,20:6,22:18,22:3,22:63,22:64,22:65,22:8,24:41,24:43,27:87,2:255,2:284,34:1,34:22,34:3,35:27,35:44,39:21,39:68,3:109,3:129,3:29,42:4,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1
31:21|10:78,2:170,2:91,36:45,5:104,77:48
31:22|2:256
31:23|10:36,11:5,16:28,35:38,35:8,39:7,3:119,3:154,42:24,5:7,64:4,67:13,8:43
31:24|2:126
31:25|16:101,16:75,21:24,27:60,27:61,29:61,29:63,2:164,39:29,39:38,3:190,3:191,43:87,43:9
31:26|10:101,10:55,13:16,16:52,17:55,19:93,21:19,22:64,24:64,25:6,2:116,30:26,34:24,35:15,48:4,48:7,4:170,55:29,57:1,57:24,59:24,60:6,6:12
31:27|14:47,2:209,2:220,2:260,5:7,8:10,8:49,9:28,9:71
31:28|22:61,22:75,58:1
31:29|13:2,14:19,22:18,22:61,22:63,22:65,24:41,24:43,2:110,2:233,2:234,2:237,2:271,33:9,35:13,35:27,39:21,39:42,39:5,3:180,3:27,48:11,48:24,57:10,57:6,58:11,58:3,58:7,64:8,71:4
31:30|22:6,22:62,24:25,8:53
31:31|14:19,14:32,14:5,22:18,22:63,22:65,24:41,24:43,34:19,34:9,35:27,39:21,42:33,58:7
31:32|10:22,17:67,29:47,29:49,29:65,39:11,39:2,40:14,7:29,98:5
31:33|10:55,18:21,22:1,28:13,30:60,35:5,40:55,40:77,45:32,46:17,4:1
31:34|16:70,49:13
