19:5|3:38,4:75
19:7|18:90
19:8|3:40,3:47
19:9|51:30
19:10|3:41
19:11|28:79
19:20|3:40
19:21|51:30
19:34|4:157,4:171,5:112
19:35|16:40,2:117,36:82,3:47,3:59,40:68
19:36|3:51,43:64
19:37|38:27,43:65,51:60
19:45|10:15,26:12,40:26
19:48|10:106,10:66,11:101,16:20,22:12,22:73,35:40,39:38,40:66,46:4,46:5,6:108,6:56,7:194,7:37
19:49|10:104,10:18,16:73,21:67,21:72,21:98,22:71,25:17,25:55,29:17,29:27,5:76,60:4,6:84
19:58|17:3,4:69
19:59|7:169
19:60|20:82,25:70,28:67,34:37,4:124
19:62|56:25,78:35
19:64|20:110,21:28,22:76,2:255,34:9,36:45,41:25
19:65|10:101,15:85,16:77,25:59,26:24,30:8,32:4,37:5,38:10,38:66,43:85,44:38,44:7,46:3,50:38,5:17,5:18,78:37
19:67|36:77
19:73|10:15,22:72,29:12,31:7,34:43,36:47,45:25,46:11,46:7,8:31
19:74|20:128,36:31,50:36
19:75|17:95,72:24
19:76|18:46
19:81|27:43,29:41,36:74,39:43,45:10,46:28,9:16
19:88|21:26
19:90|42:5
19:93|10:101,10:55,13:16,16:52,17:55,21:19,24:41,25:6,2:116,30:26,31:26,55:29,6:12,7:187
19:96|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
19:98|20:128,36:31,50:36
