47:1|11:19,14:3,16:88,22:25,2:217,38:26,3:99,4:167,58:16,63:2,6:116,7:45,7:86,8:36,8:47,9:34
47:2|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
47:3|38:27
47:4|2:190,2:195,2:244,2:273,3:157,3:167,3:169,4:84,4:89,5:54,8:15,9:120,9:19
47:7|2:282,33:49,58:11,58:12,58:9,5:6,5:90,60:10,61:10,61:2,62:9,8:15,8:45,9:28
47:10|12:109,16:36,22:46,27:69,29:20,30:42,30:9,35:44,3:137,40:21,40:82,6:11,7:129,7:86
47:11|22:61,2:257
47:12|103:3,10:4,10:9,11:23,13:29,13:35,14:23,16:31,18:107,18:30,18:31,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,29:58,29:7,29:9,2:25,2:266,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:72,9:89
47:14|11:17,11:28,11:63,11:88,35:8,6:57
47:15|13:35,2:266
47:16|10:42,16:108,6:25,9:93
47:18|43:66
47:19|10:90,11:14,16:2,20:14,20:8,21:25,21:87,27:26,28:70,28:88,2:255,37:35,38:65,3:18,3:2,3:62,4:87,64:13,9:129
47:20|22:53,33:12,33:60,8:49
47:21|49:5
47:23|4:52
47:25|2:109,4:115,9:113
47:27|8:50
47:29|22:53,33:12,33:60,8:49
47:32|11:19,14:3,16:88,22:25,2:109,2:217,3:176,3:177,3:99,4:115,4:167,58:16,63:2,7:45,7:86,8:36,8:47,9:113,9:34
47:33|22:77,24:54,4:59,5:92,64:12,8:20
47:34|11:19,14:3,16:88,22:25,22:9,2:217,38:26,3:91,3:99,4:167,58:16,63:2,63:6,7:45,7:86,8:36,8:47,9:34,9:80
47:36|57:20
47:38|2:195,57:10
