58:1|22:61,22:75,31:28,3:181
58:2|22:60
58:3|2:234,2:265,2:271,2:283,31:29,3:156,3:180,57:10,57:4,60:3,64:2,64:8,8:72
58:4|2:196,4:92,5:89
58:5|5:33
58:6|11:12,16:77,18:45,22:17,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,33:27,33:52,33:55,34:47,35:1,3:165,3:189,3:29,41:53,48:21,4:33,4:85,59:6,5:117,5:17,5:19,5:40,65:12,85:9,8:41,9:39
58:7|10:18,10:60,10:61,10:66,10:68,14:19,14:2,16:23,16:49,20:6,22:17,22:18,22:63,22:64,22:65,24:35,24:41,24:43,24:64,27:87,29:62,2:231,2:255,2:282,2:284,31:20,31:29,31:31,33:40,34:1,34:22,34:3,35:27,35:44,39:21,39:68,3:109,3:129,3:29,42:12,42:4,42:53,45:13,48:26,49:16,4:126,4:131,4:132,4:171,4:176,53:31,59:1,5:97,61:1,62:1,64:1,64:11,8:75,9:115
58:9|24:21,24:27,2:104,2:264,2:282,33:49,33:53,33:69,3:100,3:118,3:130,3:149,3:156,47:7,49:1,49:11,49:2,49:6,4:144,4:19,4:29,4:43,4:71,4:94,5:101,5:2,5:51,5:57,5:6,5:87,5:90,5:95,5:96,60:1,60:10,60:13,62:9,63:9,64:14,66:6,8:15,8:27,8:29,8:45,9:23,9:28,9:34,9:38
58:10|14:11,3:122,3:160,5:11,64:13,9:51
58:11|24:21,24:27,24:55,2:104,2:234,2:264,2:265,2:271,2:282,31:29,33:49,33:53,33:69,3:100,3:118,3:130,3:149,3:156,3:180,47:7,49:1,49:11,49:2,49:6,4:144,4:19,4:29,4:43,4:71,4:94,57:10,57:4,5:101,5:2,5:51,5:57,5:6,5:87,5:90,5:95,60:1,60:10,60:13,60:3,62:9,63:9,64:14,64:2,64:8,66:6,8:15,8:27,8:29,8:45,8:72,9:23,9:28,9:34,9:38,9:61
58:12|16:115,24:21,24:27,24:5,24:62,2:104,2:173,2:182,2:192,2:199,2:226,2:264,2:282,33:49,33:53,33:69,3:100,3:118,3:130,3:149,3:156,3:89,47:7,49:1,49:11,49:14,49:2,49:6,4:144,4:19,4:29,4:43,4:71,4:94,5:101,5:2,5:3,5:34,5:39,5:51,5:57,5:6,5:87,5:90,5:95,5:98,60:1,60:10,60:12,60:13,62:9,63:9,64:14,66:6,73:20,8:15,8:27,8:29,8:45,8:69,9:102,9:23,9:28,9:34,9:38,9:5,9:99
58:13|22:41,22:78,24:53,24:56,2:110,2:277,2:43,2:83,3:153,49:1,49:18,4:77,59:18,5:8,63:11,73:20,9:11,9:16,9:5,9:71
58:14|14:28,3:23,4:44,4:51,60:13
58:15|63:2,65:10,9:9
58:16|11:19,16:88,16:94,22:9,38:26,3:99,47:1,47:32,47:34,4:167,63:2,7:45,8:36
58:17|10:27,13:5,2:217,2:257,2:275,2:39,2:81,3:10,3:116,5:41,7:36
58:20|59:8,5:33
58:21|22:40,22:74,57:25
58:22|10:9,13:35,14:23,16:31,18:31,20:76,22:14,22:23,24:2,25:10,29:58,2:228,2:232,2:25,2:264,2:266,39:20,3:114,3:136,3:15,3:195,3:198,47:12,48:17,48:5,4:122,4:13,4:57,4:59,57:12,5:119,5:12,5:56,5:85,61:12,64:9,65:11,65:2,66:8,7:43,85:11,98:8,9:100,9:44,9:45,9:63,9:72,9:89,9:99
