23:2|70:23
23:5|70:29
23:6|16:71,70:30
23:7|70:31
23:8|70:32
23:9|70:34
23:12|15:26
23:16|39:31
23:18|11:6,14:32,15:22,20:53,25:48,2:22,31:10,43:11,50:9
23:19|2:266,36:34,43:73
23:21|16:66
23:22|40:80
23:23|11:25,11:50,11:61,11:84,28:38,29:14,29:36,43:51,71:1,7:59,7:65,7:73,7:85
23:24|11:27,21:3,28:36,7:66,7:90
23:27|11:37,11:40,26:7,31:10,50:7
23:28|17:111,28:21,7:43
23:31|6:6
23:32|11:50,11:61,11:84,28:38,7:59,7:65,7:73,7:85
23:33|21:3,28:36,7:127,7:60
23:37|45:24,6:29
23:38|10:17,11:18,11:53,18:15,29:68,34:8,42:24,6:144,6:21,6:93,7:37,7:89
23:42|6:6
23:43|15:5
23:49|11:110,25:35,28:43,2:87,32:23,41:45
23:51|34:11
23:52|21:92
23:53|30:32
23:62|39:69,6:152,7:42
23:71|5:120
23:74|16:22,16:60,17:10,17:45,27:4,53:27,6:150
23:77|15:14
23:78|16:78,32:9,67:23
23:79|67:24
23:80|40:68
23:82|37:16,37:53,50:3,56:47
23:83|27:68,46:17,6:25,74:24,8:31
23:86|13:16
23:88|36:83
23:91|37:159
23:94|7:150
23:96|41:34
23:99|6:61
23:101|69:13
23:102|7:8
23:103|11:21,6:12,6:20,7:9
23:105|45:31
23:109|3:16,7:155
23:113|18:19,2:259
23:114|17:52
23:116|11:14,13:30,20:114,20:14,20:8,20:98,27:26,28:70,28:88,2:163,2:255,35:3,39:6,3:18,3:2,3:6,40:3,40:62,40:65,44:8,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
23:117|15:96,17:22,17:39,25:68,26:213,28:88,50:26,51:51
