16:1|10:18,30:40,39:67
16:2|10:90,11:14,14:11,20:14,20:8,21:25,21:87,27:26,28:70,28:82,28:88,29:62,2:255,2:90,30:48,34:39,3:18,3:2,40:15,47:19,4:87,64:13,9:129,9:15
16:3|14:19,39:5,64:3,6:73
16:4|36:77,76:2
16:9|6:149
16:10|13:17,14:32,20:53,22:63,29:63,2:22,30:24,35:27,39:21,43:11,6:99
16:11|10:67,13:3,13:4,27:52,27:86,29:24,2:248,30:21,30:23,30:24,30:37,39:42,39:52,3:49,45:13
16:12|10:67,13:3,13:4,14:33,21:33,27:52,27:86,29:24,30:21,30:23,30:24,30:37,39:42,39:52,41:37,45:13,6:99,7:54
16:13|10:67,13:3,13:4,27:52,27:86,29:24,2:248,30:21,30:23,30:24,30:37,39:42,39:52,3:49,45:13
16:14|28:73,30:46,35:12,45:12
16:15|21:31,31:10
16:18|14:34,24:62,2:173,2:182,2:199,49:14,5:34,5:39,60:12,73:20,8:69,9:102,9:5,9:99
16:19|11:5,24:29,27:25,2:77,5:99,64:4
16:20|10:66,11:101,13:14,18:43,19:48,21:67,22:12,22:73,25:3,26:93,28:81,29:17,33:17,34:22,35:40,39:38,40:20,40:66,46:4,46:5,5:116,6:108,6:56,6:70,7:191,7:194,7:37,9:16
16:21|27:65
16:22|17:10,17:45,23:74,27:4,34:8,39:45,53:27,6:113,6:150
16:23|11:5,29:42,2:77,36:76,58:7
16:25|6:31
16:26|13:42,39:25
16:27|17:107,22:54,28:62,28:74,28:80,30:56
16:28|10:36,31:23,35:8,3:119,4:97,5:7
16:29|39:72,40:76
16:30|11:60,28:42,39:10,7:156
16:31|10:9,13:35,14:23,18:31,20:76,22:14,22:23,25:10,25:16,29:58,2:25,2:266,39:20,3:136,3:15,3:195,3:198,47:12,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,7:43,85:11,98:8,9:72,9:89
16:33|29:40,2:118,2:210,2:57,30:9,3:117,6:158,7:160,9:70
16:34|11:8,15:11,21:41,26:6,36:30,39:48,40:83,43:7,45:33,46:26,6:10,6:5
16:35|10:16,24:54,29:18,2:118,2:253,5:99,6:107,6:137,6:148
16:36|10:39,10:73,12:109,27:14,27:51,27:69,28:40,29:20,30:42,30:9,35:44,37:73,3:137,40:21,40:82,43:25,47:10,6:11,7:103,7:84,7:86
16:37|12:52,28:50,29:25,30:29,39:3,3:22,3:56,3:91,40:28,45:34,46:10,5:51,5:67,63:6,6:144,9:96
16:38|11:17,12:21,12:38,12:40,12:68,13:1,24:53,2:243,30:30,30:6,34:28,34:36,35:42,40:34,40:57,40:59,40:61,45:26,5:53,6:109,7:187
16:40|19:35,2:117,36:82,3:47,3:59,40:68
16:41|24:33,39:26,68:33
16:42|29:59
16:43|12:109,21:25,21:7,22:52,30:47,43:23,43:45
16:45|39:25
16:48|14:38,7:185
16:49|10:18,10:66,10:68,13:15,14:2,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,42:4,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1
16:51|14:52,6:19
16:52|10:101,10:55,17:55,19:93,21:19,24:64,25:6,2:116,30:26,30:27,31:26,45:37,4:170,55:29,57:1,59:24,6:12,7:187
16:54|17:56,30:33
16:55|30:34
16:58|43:17
16:60|17:10,17:45,23:74,27:4,34:8,39:45,53:27,6:113,6:150
16:61|10:49,14:10,35:45,71:4,7:34
16:63|27:24,29:38,6:42,8:48
16:64|12:111,29:51,39:41,45:20,7:203,7:52
16:65|10:67,13:17,13:3,13:4,14:32,20:53,22:63,27:52,27:86,29:24,29:63,2:164,2:22,2:248,30:21,30:23,30:24,30:37,30:50,35:27,35:9,39:21,39:42,39:52,3:49,43:11,45:13,45:5,57:17,6:99
16:66|23:21
16:67|10:67,13:3,13:4,27:52,27:86,29:24,2:248,30:21,30:23,30:24,30:37,39:42,39:52,3:49,45:13
16:69|10:67,13:3,13:4,27:52,27:86,29:24,2:248,30:21,30:23,30:24,30:37,39:42,39:52,3:49,45:13
16:70|10:36,22:5,31:34,49:13
16:71|13:4,23:6,70:30
16:72|29:67,30:21,42:11
16:73|10:104,10:18,18:43,19:49,21:67,21:98,22:71,22:73,25:17,25:55,26:93,28:81,29:17,40:66,42:46,5:116,5:76,60:4,6:56,9:16
16:74|24:19,2:216,2:232,3:66
16:75|21:24,27:61,29:63,2:264,31:25,39:29
16:76|2:264
16:77|10:101,11:12,11:123,11:4,18:26,18:45,19:65,22:17,22:6,24:45,26:24,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,33:52,35:1,37:5,38:66,3:165,3:189,3:26,3:29,41:39,41:53,42:9,44:7,46:33,48:21,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,78:37,85:9,8:41,9:39
16:78|23:78,32:9,67:23
16:79|10:67,13:3,13:4,14:5,27:52,27:86,29:24,30:21,30:23,30:24,30:37,39:42,39:52,45:13,67:19,6:99
16:81|5:6
16:82|24:54,3:20
16:84|28:75,4:41
16:87|10:30,11:21,26:207,28:75,3:24,41:48,6:24,7:53
16:88|11:19,14:3,22:25,2:217,3:99,47:1,47:32,47:34,4:167,58:16,63:2,6:157,6:49,7:45,7:86,8:36,8:47,9:34
16:89|12:111,28:75,6:154
16:90|29:45
16:92|22:69,3:55,5:48,6:164
16:93|13:27,14:4,35:8,42:8,5:48,74:31
16:94|38:26,58:16
16:95|11:86,29:16,2:184,2:280,61:11,62:9,73:20,7:85,9:41
16:96|9:121
16:97|40:40,4:124,9:121
16:99|42:36
16:101|21:24,27:61,29:63,31:25,39:29,5:61
16:104|9:61,9:68
16:105|39:63
16:106|9:68
16:107|10:64,12:52,13:26,14:27,14:3,28:50,2:258,2:264,39:3,3:86,40:28,41:31,46:10,5:108,5:51,5:67,61:5,61:7,62:5,63:6,6:144,9:109,9:19,9:24,9:37,9:38,9:80
16:108|47:16,9:93
16:109|11:22,27:5
16:110|7:153
16:111|2:281,39:70,3:161,3:25,3:30
16:114|2:172,41:37,5:88,6:142
16:115|24:5,24:62,2:173,2:182,2:192,2:199,2:226,3:89,49:14,58:12,5:3,5:34,5:39,5:98,60:12,64:14,6:145,73:20,8:69,9:102,9:5,9:99
16:116|10:60,10:69,3:94,4:50,5:103
16:118|29:40,2:57,30:9,43:76,4:164,6:146,7:160,9:70
16:119|24:5,3:89,4:17,7:153
16:122|29:27,2:130
16:123|12:108,2:135,3:67,3:95,4:125,6:161,6:79
16:124|10:93,22:69,29:13,2:113,32:25,39:46,45:17
16:125|17:53,29:46,53:30,68:7,6:117,6:119
16:126|22:60
16:127|27:70
