27:3|31:4,41:7,5:55,9:71
27:4|16:22,16:60,17:10,23:74,34:8,6:150
27:5|11:22,16:109,30:7
27:7|28:29
27:9|28:30,39:1,3:126,45:2,46:2
27:10|28:31
27:12|20:22,28:32,43:54,51:46
27:13|61:6
27:14|10:39,10:73,16:36,28:40,30:42,37:73,3:137,43:25,7:103,7:84,7:86
27:15|17:111,35:34,39:74,7:43
27:16|10:104,10:108,18:84,22:49,37:60,7:158
27:19|46:15
27:22|18:68
27:24|10:104,10:37,16:63,29:38,33:17,3:79,42:46,4:123,4:173,6:70,8:48
27:25|16:19,2:33,64:4
27:26|10:90,11:14,13:30,16:2,18:39,20:14,20:8,20:98,21:25,23:116,28:70,28:88,2:163,2:255,35:3,39:6,3:18,3:2,3:6,40:3,40:62,40:65,44:8,47:19,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
27:30|1:1
27:32|12:43
27:40|28:15,31:12
27:43|10:104,10:38,11:13,19:81,21:67,21:98,29:17,2:23,36:74,39:38,60:4
27:44|28:16
27:45|11:61,7:73
27:46|20:86,7:61,7:67
27:48|26:152
27:51|10:39,10:73,16:36,28:40,30:42,37:73,3:137,43:25,7:103,7:84
27:52|10:67,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,29:24,2:248,30:21,30:23,30:24,30:37,39:42,39:52,3:49,45:13
27:53|10:63,12:57,41:18
27:54|29:28,7:80
27:55|7:81
27:56|29:24,29:29,3:147,7:82
27:57|7:83
27:58|26:173
27:60|14:32,29:61,31:10,31:25,33:53,39:38,40:13,43:9,8:11
27:61|16:101,16:75,21:24,29:63,31:25,39:29
27:63|25:48,6:63,6:97,7:190,7:57
27:64|10:31,10:34,10:4,21:24,29:19,2:111,30:11,30:27,35:3
27:65|13:16,16:21,17:55,29:52,3:83,64:4
27:66|38:8,44:9
27:68|23:83,46:17,6:25,74:24,8:31
27:69|10:39,10:73,12:109,16:36,28:40,29:20,30:42,30:9,35:44,37:73,3:137,40:21,40:82,43:25,47:10,6:11,7:103,7:84,7:86
27:70|16:127
27:71|10:48,21:38,34:29,36:48,67:25
27:72|17:51,7:185
27:73|10:60,2:243,40:61
27:74|28:69
27:75|10:61,11:6,22:70,34:3,57:22,6:59
27:76|78:3
27:78|10:93,45:17
27:79|3:159
27:80|21:45,30:52
27:81|30:53
27:84|43:38
27:86|10:67,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,29:24,29:67,30:21,30:23,30:24,30:37,39:42,39:52,40:61,45:13,6:99
27:87|10:18,10:49,10:66,10:68,14:2,16:49,20:102,20:6,22:18,22:64,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,42:4,42:5,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1,6:128,6:73,78:18,7:188,87:7
27:88|32:7
27:89|28:84,6:160
27:90|10:52,34:33,36:54,37:39,7:147
27:91|10:72,13:36,39:11
27:92|10:108,17:15
27:93|11:123,6:132
