4:1|22:1,31:33,33:1,33:55,39:6,76:30,7:189
4:9|33:70
4:10|2:174
4:11|13:11,13:31,28:50,2:110,33:1,33:55,3:37,76:30
4:12|5:38,77:39,9:60
4:13|10:9,13:35,14:23,16:31,18:31,20:76,22:14,22:23,24:52,25:10,29:58,2:25,2:266,33:36,33:71,39:20,3:136,3:15,3:195,3:198,47:12,48:17,48:5,57:12,58:22,59:17,5:119,5:12,5:85,61:12,64:9,65:1,65:11,66:8,72:23,7:43,85:11,98:8,9:100,9:72,9:89
4:14|24:52,33:36,33:71,48:17,72:23
4:17|16:119,33:51,48:19,48:4,48:7
4:18|17:10,2:180,5:106
4:19|22:77,24:21,24:27,24:58,2:104,2:153,2:172,2:178,2:183,2:208,2:216,2:229,2:254,2:264,2:267,2:278,2:282,33:41,33:49,33:53,33:56,33:69,33:70,33:9,3:100,3:102,3:118,3:130,3:149,3:156,3:200,47:33,47:7,49:1,49:11,49:12,49:2,49:6,57:28,58:11,58:12,58:9,59:18,5:1,5:101,5:105,5:106,5:11,5:2,5:35,5:51,5:54,5:57,5:6,5:8,5:87,5:90,5:94,5:95,60:1,60:10,60:13,61:10,61:14,61:2,62:9,63:9,64:14,65:1,66:6,66:8,8:15,8:20,8:24,8:27,8:29,8:45,9:119,9:123,9:23,9:28,9:34,9:38
4:22|8:38
4:23|25:6,33:24
4:24|2:234,2:235,33:1,33:55,5:5,76:30
4:25|24:22,2:184,2:280,30:28,49:5,57:28,8:70
4:26|9:106
4:29|17:66,22:77,24:21,24:27,24:58,2:104,2:153,2:172,2:178,2:183,2:188,2:208,2:254,2:264,2:267,2:278,2:282,33:2,33:41,33:49,33:53,33:56,33:69,33:70,33:9,3:100,3:102,3:118,3:130,3:149,3:156,3:200,47:33,47:7,49:1,49:11,49:12,49:2,49:6,57:28,58:11,58:12,58:9,59:18,5:1,5:101,5:105,5:106,5:11,5:2,5:35,5:51,5:54,5:57,5:6,5:8,5:87,5:90,5:94,5:95,60:1,60:10,60:13,61:10,61:14,61:2,62:9,63:9,64:14,66:6,66:8,8:15,8:20,8:24,8:27,8:29,8:45,9:119,9:123,9:23,9:28,9:34,9:38
4:30|14:20,22:70,29:19,33:19,33:30,35:11,35:17,48:5,57:22
4:32|33:2,33:54,33:55,3:180,76:30
4:33|22:17,22:6,33:1,33:55,34:47,3:26,41:39,41:53,46:33,58:6,5:117,66:8,76:30,85:9
4:34|33:1,33:55,76:30
4:35|33:1,33:55,76:30
4:36|2:83,3:32,59:7,6:151,8:41
4:37|3:170,3:180,57:24
4:38|2:264,9:29
4:39|2:177,2:62,5:69,9:18,9:19
4:41|16:84,28:75
