24:2|10:38,11:13,2:23,3:114,4:59,58:22,5:112,5:57,9:44,9:45
24:5|16:115,16:119,2:173,2:182,2:192,2:199,2:226,3:89,49:14,58:12,5:3,5:34,5:39,5:98,60:12,64:14,73:20,8:69,9:102,9:5,9:99
24:10|2:64,4:113,4:83
24:14|2:64,4:113,4:83
24:15|11:46,11:47,17:36,22:71,29:8,31:15,3:66,40:42
24:16|7:89
24:18|2:219,2:266
24:19|12:101,16:74,22:15,2:216,2:232,33:57,3:66,9:74
24:20|2:64,4:113,4:83
24:21|28:56,2:168,2:172,2:208,2:272,2:282,2:64,33:49,33:56,3:118,49:2,4:113,4:144,4:49,4:83,58:11,58:12,58:9,5:51,5:57,5:6,60:1,60:10,60:13,61:10,61:2,62:9,66:6,6:142,8:15,8:45,9:23
24:22|49:5,4:25,57:28,8:70
24:23|3:176
24:25|22:6,22:62,31:30,9:104
24:26|22:50,34:4,8:74
24:27|2:104,2:172,2:264,2:282,33:49,33:53,33:56,3:118,3:130,4:144,4:29,58:11,58:12,58:9,5:101,5:2,5:51,5:57,5:6,5:95,60:1,60:10,60:13,61:10,61:2,62:9,66:6,8:15,8:45,9:23,9:41
24:28|2:283
24:29|16:19,2:198,2:33,4:101,5:99
24:30|59:18,5:8
24:32|2:268,9:28
24:33|16:41,42:16,4:94,9:28
24:34|2:214,2:99
24:35|14:25,29:62,2:231,2:282,49:16,4:176,58:7,5:97,64:11,8:75,9:115
24:37|21:73
24:38|2:212,3:27,3:37,9:121
24:40|86:10
24:41|10:36,12:19,13:16,14:19,17:55,19:93,21:19,22:18,22:63,22:65,29:52,2:116,30:26,31:20,31:29,31:31,35:27,39:21,58:7,59:24
24:42|25:2,2:107,39:44,3:189,42:49,43:85,45:27,48:14,57:2,57:5,5:120,5:17,5:18,5:40,7:158,85:9,9:116
24:43|10:107,13:13,14:19,22:18,22:63,22:65,30:24,30:48,31:20,31:29,31:31,35:27,39:21,58:7
24:44|13:3,3:13
24:45|11:12,11:4,16:77,18:45,22:17,22:6,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,33:52,35:1,3:165,3:189,3:26,3:29,41:39,41:53,42:9,46:33,48:21,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,8:41,9:39
24:46|10:25,28:56,2:142,2:213,2:272
24:47|2:52,3:23,5:43
24:52|33:36,33:71,48:17,4:13,4:14,72:23
24:53|16:38,35:42,3:153,58:13,59:18,5:53,5:8,63:11,6:109,9:16
24:54|16:35,16:82,29:18,47:33,4:59,5:92,5:99,64:12
24:55|3:82,3:94,48:29,58:11,5:12,5:9,63:9
24:56|22:41,22:78,2:110,2:277,2:43,2:83,4:77,58:13,73:20,9:11,9:5
24:58|2:219,2:242,2:266,3:103,5:89
24:59|22:52,2:219,2:242,2:266,3:103,5:89
24:60|2:256,4:101,9:103
24:61|2:198,2:219,2:242,2:266,3:103,48:17,4:101,57:17,5:89
24:62|16:115,16:18,2:173,2:182,2:192,2:199,2:226,2:235,31:16,39:53,3:155,3:89,49:14,49:15,58:12,5:3,5:34,5:39,5:98,60:12,64:14,73:20,8:69,9:102,9:5,9:99
24:64|10:101,10:55,10:66,16:52,17:55,29:62,2:116,2:231,2:282,30:26,31:26,3:179,49:16,4:170,4:176,55:29,57:1,58:7,59:24,5:97,64:11,6:12,7:187,8:75,9:115
