28:1|26:1
28:2|12:1,26:2
28:9|12:21
28:10|26:194
28:13|10:55,18:21,20:40,30:60,31:33,35:5,39:49,40:55,40:77,44:39,45:32,46:17,52:47,6:37,7:131,8:34
28:14|12:22
28:15|27:40
28:16|12:98,27:44,39:53,42:5
28:20|7:144
28:21|23:28,66:11
28:22|7:129
28:27|18:69,37:102
28:28|12:66
28:29|20:10,27:7
28:30|20:11,27:9,59:16,5:28,7:144
28:31|27:10
28:32|20:22,27:12,43:54,51:46
28:34|26:12
28:36|11:7,23:24,23:33,34:43,37:15,38:7,5:110,6:7,74:24
28:37|12:23,6:135,6:21
28:38|11:50,11:61,11:84,23:23,23:32,40:36,40:37,7:59,7:65,7:73,7:85
28:39|10:23,36:31,40:75,41:15,42:42,46:20,7:146
28:40|10:39,10:73,16:36,27:14,27:51,27:69,30:42,37:73,3:137,43:25,51:40,7:103,7:84
28:42|11:60,16:30,39:10,7:156
28:43|11:110,23:49,25:35,2:87,32:23,41:45,45:20
28:46|32:3
28:47|20:134,4:62
28:48|10:76,40:25,6:124
28:49|2:89,3:37,41:52,8:10
28:50|12:52,13:11,16:107,16:37,2:110,2:258,2:264,33:55,3:86,46:10,5:108,5:51,5:67,60:12,61:5,61:7,62:5,63:6,6:144,76:30,8:10,9:109,9:19,9:24,9:37,9:80
28:52|43:21
28:53|11:17,22:54,2:144,2:26,52:28
28:55|2:139,42:15
28:56|14:4,22:16,24:21,24:46,2:213,2:272,4:49
28:57|10:55,39:49,44:39,52:47,6:37,7:131,8:34
28:58|15:4,26:208
28:59|11:117,6:131
28:60|2:103,3:198,42:36,62:11
28:61|10:23,29:25,9:38
28:62|16:27
28:63|46:18
28:64|18:52
28:67|19:60,20:82,25:70
28:69|27:74
28:70|10:90,11:14,13:30,16:2,18:39,20:14,20:8,20:98,21:25,23:116,27:26,2:163,2:255,35:3,39:6,3:18,3:2,3:6,40:3,40:62,40:65,44:8,47:19,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
28:71|35:3,6:46
28:72|35:3,6:46
28:73|16:14,30:46,35:12,45:12
28:74|16:27
28:75|10:30,11:21,16:84,16:87,16:89,26:207,3:24,41:48,4:41,6:24,7:53
28:77|11:116,22:64,2:190,5:64,5:87,5:97
28:78|39:49,39:52,41:15,9:69
28:79|19:11
28:80|16:27,18:88,30:56,34:37
28:81|10:106,10:18,11:101,11:113,11:20,12:108,16:20,16:73,18:43,21:66,22:12,22:71,25:55,29:17,29:22,2:107,33:17,34:22,40:66,42:31,42:46,46:5,4:123,4:173,5:76,6:70,6:71,9:116,9:16
28:82|10:107,12:90,13:26,14:11,16:2,17:30,29:62,2:90,30:37,30:48,34:36,34:39,39:52,40:15,42:12,6:88,7:128
28:83|34:3
28:84|27:89,34:33,6:160,7:147
28:85|34:24,67:29
28:86|10:94,17:87,18:82,2:147,3:60
28:87|10:105,10:94,2:147,30:31,6:14
28:88|10:90,11:14,13:30,15:96,16:2,17:22,17:39,20:8,20:98,21:25,21:87,23:116,23:117,25:68,26:213,27:26,2:163,2:255,35:3,39:6,3:18,3:2,3:6,40:3,40:62,40:65,44:8,47:19,4:87,50:26,51:51,59:22,59:23,64:13,6:102,6:106,73:9,7:158,9:129,9:31
