13:1|10:1,11:17,12:1,12:21,12:38,12:40,12:68,15:1,16:38,2:243,30:30,30:6,34:28,34:36,34:6,40:57,40:59,40:61,45:26,5:64,5:67,5:68,7:187
13:2|10:3,25:59,31:10,31:29,32:4,35:13,39:5,57:4,7:54
13:3|10:67,16:11,16:12,16:13,16:65,16:67,16:69,16:79,24:44,27:52,27:86,29:24,30:21,30:23,30:24,30:37,39:42,39:52,45:13,6:99
13:4|10:67,16:11,16:12,16:13,16:65,16:67,16:69,16:71,16:79,27:52,27:86,29:24,30:21,30:23,30:24,30:37,39:42,39:52,45:13,6:99
13:5|10:27,2:217,2:257,2:275,2:39,2:81,32:10,3:116,58:17,7:36
13:6|41:25,41:43,46:18
13:7|10:20,25:32,29:50,6:37
13:11|11:43,18:26,28:50,2:110,2:222,30:29,33:55,40:44,41:14,41:42,46:21,4:11,72:27,76:30,7:17,8:53
13:12|30:24
13:13|24:43
13:14|16:20,22:62,35:13,40:20,40:25,40:50,43:86,7:197
13:15|10:101,16:49,17:55,3:83
13:16|18:14,19:93,21:19,23:86,24:41,27:65,30:26,31:26,34:24,39:62,3:83,43:82,55:29,6:101,6:12,6:50,7:188
13:17|14:32,16:10,16:65,20:53,22:63,29:63,2:22,30:24,35:27,39:21,43:11,6:99
13:18|14:8,2:29,39:47,3:197,45:13,5:17,5:36,70:14
13:19|34:6,39:9,5:64,5:67,5:68
13:21|2:27
13:22|14:31,35:29
13:23|40:8
13:25|2:27,40:52
13:26|10:64,14:27,14:3,16:107,17:30,28:82,29:62,30:37,34:36,34:39,39:52,41:31,42:12,9:38
13:27|10:20,16:93,25:32,29:50,35:8,42:13,6:37,7:28
13:29|103:3,10:4,10:9,11:23,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
13:30|11:14,20:8,20:98,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,3:137,3:144,3:18,3:2,3:6,40:3,40:62,40:65,41:25,44:8,46:18,48:23,4:87,59:22,59:23,5:75,64:13,6:102,6:106,73:9,7:158,7:38,9:129,9:31
13:31|22:55,2:110,2:115,33:55,36:47,3:37,3:9,76:30,8:10
13:32|21:41,22:44,40:5,6:10
13:33|14:51,22:18,2:281,39:23,39:36,39:37,3:161,3:25,40:17,40:33,42:44,42:46,45:22,4:143,4:88,74:38
13:34|10:27,39:26,39:47,40:21,41:16
13:35|10:9,14:23,16:31,18:31,20:76,22:14,22:23,25:10,29:58,2:25,2:266,39:20,3:136,3:15,3:195,3:198,47:12,47:15,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,7:43,85:11,98:8,9:72,9:89
13:36|27:91,2:4,39:11,3:64,4:162,4:60,6:14
13:37|29:22,2:107,2:120,42:31,5:48,9:116
13:38|40:78
13:40|10:46,40:77
13:41|21:44
13:42|16:26,6:164
13:43|10:29,17:96,46:8
