30:1|29:1,2:1,31:1,32:1,3:1
30:5|14:4,29:42
30:6|11:17,12:21,12:38,12:40,12:68,13:1,16:38,22:47,2:243,34:28,34:36,39:20,40:57,40:59,40:61,45:26,65:7,7:187
30:7|18:104,27:5
30:8|10:92,15:85,19:65,25:59,26:24,29:44,32:4,37:5,38:10,38:27,38:66,43:85,44:38,44:7,45:22,46:3,50:38,5:17,5:18,5:49,78:37
30:9|10:13,12:109,16:118,16:33,16:36,22:46,27:69,29:20,29:40,2:57,35:44,3:137,40:21,40:82,47:10,6:11,7:101,7:129,7:160,7:86,9:69,9:70
30:11|10:34,10:4,27:64
30:14|45:27
30:15|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
30:16|22:57,2:39,34:38,57:19,5:10,5:86,64:10,7:147
30:19|10:31,35:9,3:27,57:17,6:95
30:21|10:67,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:72,16:79,27:52,27:86,29:24,39:42,39:52,42:11,45:13,6:99
30:22|2:164,3:190,42:29
30:23|10:67,13:3,13:4,14:5,16:11,16:12,16:13,16:65,16:67,16:69,16:79,27:52,27:86,29:24,39:42,39:52,45:13,6:99
30:24|10:67,13:12,13:17,13:3,13:4,14:32,16:10,16:11,16:12,16:13,16:65,16:67,16:69,16:79,20:53,22:63,24:43,27:52,27:86,29:24,29:63,2:164,2:22,35:27,35:9,39:21,39:42,39:52,43:11,45:13,45:5,57:17,6:99
30:25|53:32
30:26|10:55,13:16,16:52,17:55,19:93,21:19,24:41,24:64,2:116,31:26,55:29,6:12,7:187
30:27|10:101,10:34,10:4,16:52,21:19,27:64,45:37,57:1,59:1,59:24,61:1
30:28|10:24,7:32
30:29|13:11,16:37,29:25,3:22,3:56,3:78,3:91,45:34,4:88
30:30|10:105,11:17,12:21,12:38,12:40,12:68,13:1,16:38,2:243,34:28,34:36,40:57,40:59,40:61,45:26,7:187
30:31|10:105,28:87,6:14
30:32|23:53,6:159
30:33|16:54,39:8
30:34|16:55
30:36|10:21,42:48
30:37|10:67,13:26,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,17:30,17:99,27:52,27:86,28:82,29:24,29:62,34:36,34:39,39:42,39:52,41:15,42:12,45:13,46:33,6:99
30:38|17:26
30:40|10:18,16:1,22:66,2:28,39:67
30:41|6:59
30:42|10:39,10:73,12:109,16:36,27:14,27:51,27:69,28:40,29:20,35:44,37:73,3:137,40:21,40:82,43:25,47:10,6:11,7:103,7:84,7:86
30:43|14:31,2:254,42:47
30:44|35:39
30:45|103:3,10:4,10:9,11:23,13:29,14:23,17:66,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,31:8,32:19,34:4,35:7,38:24,38:28,3:32,3:57,40:58,41:8,42:22,42:23,42:26,42:40,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
30:46|16:14,28:73,35:12,45:12
30:47|10:103,10:74,12:109,15:10,16:43
30:48|10:107,14:11,16:2,24:43,28:82,29:62,34:39,35:9,39:23,6:88
30:49|3:164,62:2
30:50|11:4,16:65,16:77,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,33:27,34:47,35:1,39:62,3:165,3:189,3:26,3:29,41:39,42:9,46:33,48:21,57:17,57:2,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:102,6:17,8:41,9:39
30:52|21:45,27:80
30:53|27:81
30:54|42:49
30:56|16:27,28:80
30:58|17:89,18:54,39:27
30:59|40:35,7:101
30:60|10:55,18:21,28:13,31:33,35:5,40:55,40:77,45:32,46:17
