38:3|32:26,6:6
38:4|50:2
38:5|11:72
38:7|28:36
38:8|27:66,44:9,54:25
38:10|15:85,19:65,25:2,25:59,26:24,2:107,30:8,32:4,37:5,39:44,42:29,42:49,43:85,44:38,44:7,46:3,50:38,57:2,57:5,5:120,5:17,5:18,5:40,78:37,7:158,7:185,85:9,9:116
38:12|14:9,22:42,40:5,50:12,54:9,9:70
38:14|50:14
38:17|20:130,50:39,73:10
38:24|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
38:26|11:19,16:94,22:9,31:6,3:4,47:1,47:34,58:16,63:2,6:116,7:45
38:27|15:85,19:37,21:16,30:8,46:3,47:3,51:60
38:28|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
38:35|7:151
38:41|21:83
38:43|21:84
38:48|21:85
38:61|7:38
38:65|12:39,37:35,3:62,47:19,5:73
38:66|10:101,15:85,16:77,19:65,25:59,26:24,30:8,32:4,37:5,43:85,44:38,44:7,46:3,50:38,5:17,5:18,78:37
38:70|29:50,67:26
38:71|15:28,2:30
38:72|15:29
38:73|15:30
38:74|2:34
38:75|7:12
38:76|7:12
38:77|15:34
38:79|15:36,7:14
38:80|15:37,7:15
38:81|15:38
38:83|15:40
38:86|12:104,25:57,26:109,26:127,26:145,26:164,26:180,42:23,6:56,6:90
38:87|12:104,34:46,36:69,68:52,6:90,7:184,81:27
