32:1|29:1,2:1,30:1,31:1,3:1
32:2|10:37,2:2
32:3|10:38,11:13,11:35,28:46,46:8
32:4|10:3,11:7,13:2,14:19,14:32,15:85,17:99,18:26,18:51,19:65,25:59,26:24,2:107,30:8,36:81,37:5,38:10,38:66,42:29,43:85,44:38,44:7,46:3,46:33,50:38,57:4,5:120,5:17,5:18,6:1,6:73,78:37,7:54
32:5|22:47,70:4
32:6|62:8,64:18,9:105,9:94
32:7|27:88
32:9|16:78,23:78,67:23
32:10|13:5
32:13|11:119
32:14|45:34
32:17|46:14,56:24
32:19|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
32:20|22:22,34:42,37:21,83:17
32:22|18:57
32:23|11:109,11:110,11:17,17:2,23:49,25:35,28:43,2:87,41:45
32:25|10:93,16:124,22:17,22:69,29:13,2:113,39:46,45:17
32:26|20:128,38:3,6:6
