26:1|28:1
26:2|12:1,28:2
26:5|21:2,36:46,6:4
26:6|11:8,15:11,16:34,21:41,36:30,39:48,40:83,43:7,45:33,46:26,6:10,6:5
26:7|11:40,15:19,23:27,31:10,50:7
26:8|11:103
26:12|19:45,28:34,39:13,40:26,6:15
26:16|43:46
26:17|20:47
26:24|10:101,15:85,16:77,17:102,19:65,25:59,30:8,32:4,37:5,38:10,38:66,43:85,44:38,44:7,46:3,50:38,5:17,5:18,78:37
26:26|37:126,44:8
26:28|44:7,73:9
26:31|7:106
26:32|7:107
26:33|7:108
26:34|7:109
26:35|7:110
26:37|7:112
26:41|10:80,7:113
26:43|10:80
26:45|7:117
26:47|7:121
26:48|7:122
26:49|20:71,7:123,7:124
26:50|7:125
26:52|20:77,7:117,7:160
26:63|7:160
26:66|37:82
26:67|11:103
26:70|21:52,37:85
26:92|40:73
26:93|10:106,10:18,10:38,11:101,11:113,11:13,11:20,16:20,16:73,21:66,22:12,22:71,22:73,25:55,29:17,29:22,2:107,2:23,34:22,39:38,42:31,46:5,5:116,5:76,6:56,6:70,6:71,9:116,9:16
26:97|36:24
26:102|2:167
26:103|11:103
26:107|44:18
26:109|10:72,11:29,11:51,12:104,25:57,34:47,38:86
26:115|35:23,46:9,7:188
26:117|25:30
26:119|10:73
26:121|11:103
26:125|44:18
26:127|10:72,11:29,11:51,12:104,25:57,34:47,38:86
26:135|11:26,11:3,11:84,46:21,7:59
26:137|12:31
26:139|11:103
26:143|44:18
26:145|10:72,11:29,11:51,12:104,25:57,34:47,38:86
26:147|44:52
26:149|15:82
26:152|27:48
26:154|14:10,36:15
26:156|11:64,7:73
26:158|11:103
26:162|44:18
26:164|10:72,11:29,11:51,12:104,25:57,34:47,38:86
26:171|37:135
26:172|37:136
26:173|27:58
26:174|11:103
26:178|44:18
26:180|10:72,11:29,11:51,12:104,25:57,34:47,38:86
26:183|11:85,29:36,2:60,7:74,7:85
26:186|14:10,36:15
26:187|34:9
26:190|11:103
26:194|28:10
26:201|10:88,10:97
26:202|12:107,29:53,43:66,7:95
26:204|37:176
26:207|10:30,11:21,15:84,16:87,28:75,39:50,40:82,41:48,6:24,7:53
26:208|15:4,28:58
26:213|15:96,17:22,17:39,23:117,25:68,28:88,50:26,51:51,72:18
26:215|8:64
26:216|10:41
26:220|12:34,41:36,44:6,8:61
26:227|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
