42:1|40:1,41:1,43:1,44:1,45:1,46:1
42:3|39:65
42:4|10:18,10:66,10:68,14:2,16:49,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1
42:5|12:98,19:90,27:87,28:16,39:53,39:68,5:17,5:72
42:6|39:3,39:41,6:107
42:7|6:92
42:8|16:93,29:22,2:107,2:120,5:48,6:35,76:31,9:116,9:74
42:9|11:4,16:77,21:24,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,34:47,35:1,39:3,39:43,39:62,3:165,3:189,3:26,3:29,41:39,46:33,48:21,57:2,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:102,6:17,8:41,9:39
42:10|11:88
42:11|16:72,30:21,35:1
42:12|13:26,17:30,28:82,29:62,2:231,30:37,34:36,34:39,39:52,39:63,58:7,5:97,8:75,9:115
42:13|13:27,14:4,35:31,74:31
42:14|10:19,11:110,20:129,2:144,3:19,41:45,45:17,98:4
42:15|28:55,2:139,2:164,2:174,2:285,2:91,45:5
42:16|24:33
42:17|33:63,7:196
42:20|2:102,2:200,3:145
42:21|14:22
42:22|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:32,35:7,38:24,38:28,39:34,3:57,40:58,41:8,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
42:23|103:3,10:4,10:9,11:23,11:29,11:51,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,25:57,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,38:86,3:57,40:58,41:8,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,6:90,7:42,84:25,85:11,95:6,98:7
42:24|10:17,11:18,11:5,18:15,23:38,29:68,31:23,34:8,35:38,39:7,3:119,5:7,67:13,6:144,6:21,6:93,7:37,7:89,8:43
42:25|9:104
42:26|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
42:29|15:85,18:51,25:59,2:107,30:22,32:4,38:10,43:85,44:38,46:3,46:33,50:38,5:120,5:17,5:18
42:31|11:113,11:20,13:37,18:43,22:73,26:93,28:81,29:22,29:25,2:107,2:120,33:17,34:22,3:79,40:66,45:34,46:5,4:123,4:173,53:58,6:56,6:70,71:25,9:116,9:74
42:33|14:5,31:31,34:19,34:9
42:36|16:99,28:60,2:103,3:198,62:11
42:37|53:32
42:40|30:45,8:61
42:42|10:23,28:39,29:23,3:91,40:75,41:15,46:20,7:146,9:93
42:43|31:17,3:186
42:44|13:33,22:18,39:23,39:36,39:37,40:33,4:143,4:88
42:45|11:60,39:15
42:46|10:104,10:106,10:18,10:37,10:38,11:101,11:113,11:13,11:20,13:33,16:73,18:43,21:66,22:12,22:18,22:71,22:73,25:55,27:24,28:81,29:22,2:107,2:23,39:23,39:36,39:37,39:38,3:64,3:79,40:21,40:33,40:66,46:5,4:143,4:88,5:76,6:70,6:71,9:116,9:16
42:47|14:31,2:254,30:43
42:48|11:9,30:36,4:80
42:49|24:42,25:2,2:107,30:54,38:10,39:44,3:189,43:85,45:27,48:14,57:2,57:5,5:120,5:17,5:18,5:40,7:158,85:9,9:116
42:51|3:79
42:52|3:101
42:53|10:18,10:66,10:68,11:6,14:2,16:49,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1
