9:3|2:184,8:19
9:4|3:76
9:5|16:115,16:18,22:41,22:78,24:5,24:56,24:62,2:110,2:173,2:182,2:192,2:199,2:226,2:235,2:277,2:43,2:83,3:155,3:89,49:14,4:77,58:12,58:13,5:3,5:34,5:39,5:98,60:12,64:14,73:20,8:69
9:6|2:75,59:13,59:14,5:58
9:7|3:76,60:8
9:9|3:199,58:15,63:2
9:11|10:5,22:41,22:78,24:56,2:110,2:277,2:43,2:83,4:77,58:13,73:20,7:32
9:15|16:2,2:284,2:90,40:15,59:6
9:16|10:104,10:106,10:18,10:37,16:20,16:73,18:43,19:81,21:66,21:67,22:12,22:71,22:73,24:53,25:55,26:93,28:81,29:17,29:41,2:165,33:17,34:22,36:74,39:43,3:142,3:153,3:79,40:66,42:46,45:10,46:28,49:18,4:123,4:173,58:13,59:18,5:76,5:8,63:11,6:56,6:70,6:71
9:18|2:177,2:228,2:232,2:264,2:62,4:39,5:69,65:2
9:19|16:107,28:50,2:177,2:195,2:218,2:228,2:232,2:246,2:258,2:264,2:62,3:86,46:10,47:4,4:39,5:108,5:51,5:54,5:67,5:69,61:5,61:7,62:5,63:6,65:2,6:144,8:74
9:20|2:218,4:95,5:54,61:11,8:72,8:74
9:22|33:65,4:169,64:15,65:11,8:28
9:23|24:21,24:27,2:172,2:282,33:49,33:53,33:56,3:118,4:144,58:11,58:12,58:9,5:51,5:57,5:6,60:1,60:10,60:13,61:10,61:2,62:9,66:6,8:15,8:45
9:24|16:107,28:50,2:109,2:258,2:264,3:86,46:10,5:108,5:51,5:67,61:5,61:7,62:5,63:6,6:144
9:26|48:26
9:27|12:49,2:74,3:129,59:6
9:28|24:32,24:33,2:209,2:220,2:260,2:282,31:27,33:49,3:100,3:149,47:7,49:6,4:136,4:94,58:11,58:12,58:9,5:6,5:90,60:10,62:9,64:14,8:10,8:15,8:29,8:45
9:29|12:37,2:144,4:38,5:5
9:30|63:4
9:31|11:14,13:30,20:8,20:98,23:116,27:26,28:70,28:88,2:163,2:255,35:3,39:6,3:18,3:2,3:6,3:64,40:3,40:62,40:65,44:8,4:87,59:22,59:23,64:13,6:102,6:106,73:9,7:158,98:5
9:32|61:8
9:33|48:28,61:9
9:34|11:19,14:3,16:88,22:25,2:282,33:49,3:99,47:1,47:32,47:34,4:167,4:76,58:11,58:12,58:9,5:6,5:90,60:10,61:10,61:2,62:9,7:45,7:86,8:15,8:36,8:45,8:47,8:72,8:74
9:36|2:194,2:233,2:244,8:25
9:37|16:107,28:50,2:258,2:264,3:86,46:10,5:108,5:51,5:67,61:5,61:7,62:5,63:6,6:144
9:38|10:23,10:64,13:26,14:27,14:3,16:107,28:61,2:195,2:273,2:282,33:49,41:31,43:35,57:10,58:11,58:12,58:9,5:6,5:90,60:10,61:10,61:2,62:9,66:6,8:15,8:45
9:39|11:12,11:4,11:57,16:77,18:45,22:17,22:6,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,30:50,33:27,33:52,35:1,3:165,3:189,3:26,3:29,41:39,42:9,46:33,48:21,4:85,57:2,58:6,59:6,5:120,5:17,5:19,5:40,64:1,65:12,66:8,67:1,6:17,85:9,8:41
9:40|48:26
9:41|11:86,16:95,24:27,29:16,2:184,2:280,2:54,49:15,61:11,62:9,7:85,8:72
9:44|24:2,2:126,2:228,2:232,2:264,3:114,4:59,58:22,65:2
9:45|24:2,2:228,2:232,2:264,3:114,4:59,58:22,65:2
9:47|2:246
9:49|29:54
9:50|3:120
9:51|14:11,2:187,3:122,3:160,58:10,5:11,64:13
9:60|4:12,5:38
9:61|16:104,58:11
9:63|58:22,72:23,8:13,98:6
9:68|16:104,16:106,72:23,98:6
9:69|28:78,2:217,30:9,3:22
9:70|14:9,16:118,16:33,22:42,29:40,2:57,30:9,38:12,40:31,64:5,7:101,7:160
9:71|14:47,22:41,27:3,2:209,2:220,2:260,31:27,31:4,3:104,3:110,3:114,58:13,5:55,5:7,8:10,8:49
9:72|10:64,10:9,13:35,14:23,16:31,18:31,20:76,22:14,22:23,25:10,29:58,2:25,2:266,39:20,3:136,3:15,3:195,3:198,40:9,44:57,47:12,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,66:8,7:43,85:11,98:8
9:73|3:162,66:9,8:16
9:74|24:19,29:22,2:107,2:120,3:22,3:45,3:56,42:31,42:8
9:78|2:235,2:77,39:52,5:97
9:79|59:15,5:36,64:5
