36:7|41:4
36:10|2:6
36:15|11:27,14:10,26:154,26:186,67:9
36:19|7:81
36:20|11:50,11:61,11:84,7:65,7:73,7:85
36:23|21:24
36:24|26:97,54:24
36:30|11:8,15:11,16:34,21:41,26:6,39:48,40:83,43:7,45:33,46:26,51:52,6:10,6:5
36:31|19:74,19:98,20:128,28:39,50:36,6:6
36:34|23:19,2:266
36:36|2:61,43:12
36:38|41:12,6:96
36:40|21:33
36:45|19:64,20:110,21:28,22:76,2:13,2:170,2:255,2:91,31:21,34:9,41:25
36:46|26:5,6:4
36:47|13:31,19:73,29:12,34:24,40:4,46:11,67:9,7:50
36:48|10:48,21:38,27:71,34:29,67:25
36:52|21:14,68:31
36:54|10:52,21:47,27:90,37:39
36:60|2:168,2:208,43:62,6:142,7:26,7:35
36:69|12:104,34:46,38:87,6:90,7:184,81:27
36:74|19:81,27:43,29:41,39:43,45:10,46:28,9:16
36:76|11:5,16:23,2:77
36:77|16:4,19:67
36:81|10:3,11:7,14:19,14:32,17:99,25:59,32:4,46:33,57:4,6:1,6:73,7:54
36:82|16:40,19:35,2:117,3:47,3:59,40:68
36:83|23:88
