10:1|12:1,13:1,15:1,31:2
10:3|11:7,13:2,14:19,14:32,17:99,25:59,32:4,36:81,46:33,50:38,53:26,57:4,6:1,6:73,7:54
10:4|103:3,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,27:64,29:58,29:7,29:9,2:10,2:25,2:277,2:82,30:11,30:15,30:27,30:45,31:8,32:19,34:4,35:7,38:24,38:28,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,6:70,7:42,84:25,85:11,95:6,98:7
10:5|17:12,7:32,9:11
10:6|12:105,25:6,2:164,2:228,45:3,45:5,7:185
10:9|103:3,11:23,13:29,13:35,14:23,16:31,18:107,18:30,18:31,19:96,20:76,22:14,22:23,22:50,22:56,25:10,26:227,29:58,29:7,29:9,2:25,2:266,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,39:20,3:136,3:15,3:195,3:198,3:57,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:17,48:29,48:5,4:122,4:13,4:173,4:57,57:12,58:22,5:119,5:12,5:85,5:9,5:93,61:12,64:9,65:11,66:8,7:42,7:43,84:25,85:11,95:6,98:7,98:8,9:72,9:89
10:10|1:2,37:182,39:75,40:65,6:45
10:12|39:49,39:8
10:13|30:9,46:25,7:101
10:14|35:39
10:15|19:45,19:73,22:72,25:21,31:7,34:43,39:13,45:25,46:7,46:9,6:15,6:50,8:31
10:16|16:35,2:253,6:107,6:137,6:148
10:17|11:18,18:15,23:38,29:68,34:8,3:94,42:24,61:7,6:144,6:21,6:93,7:37,7:89
10:18|14:2,16:1,16:49,16:73,18:43,19:49,20:6,21:67,21:98,22:12,22:18,22:64,22:71,22:73,25:17,25:55,26:93,27:87,28:81,29:17,2:102,2:255,2:284,30:40,31:20,34:1,34:22,34:3,35:44,39:67,39:68,3:109,3:129,3:29,40:66,42:4,42:46,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:116,5:76,5:97,60:4,61:1,62:1,64:1,6:56,9:16
10:19|11:110,20:129,41:45,42:14
10:20|11:12,13:27,13:7,29:50,6:37,7:71
10:21|30:36,41:50
10:22|14:17,29:65,31:32,39:11,39:2,40:14,6:63,98:5
10:23|22:49,22:5,28:39,28:61,29:8,31:15,35:15,35:5,39:7,40:75,41:15,42:42,46:20,49:13,5:105,62:8,6:164,6:60,7:146,7:158,9:105,9:38,9:94
10:24|18:45,30:28,7:32
10:25|24:46,2:142,2:213,35:8
10:26|11:23,2:82,3:107,7:42
10:27|13:34,13:5,2:217,2:257,2:275,2:39,2:81,33:47,3:116,40:21,40:33,58:17,7:36
10:28|34:40,6:22
10:29|13:43,17:96
10:30|11:21,16:87,26:207,28:75,3:24,41:48,6:24,6:62,7:53
10:31|27:64,30:19,34:9,35:3,3:27,6:95
10:33|40:6
10:34|27:64,29:19,30:11,30:27
10:35|37:154,68:36
10:36|16:28,16:70,24:41,31:23,35:8,3:119,53:28,5:7
10:37|12:111,22:73,27:24,2:2,32:2,33:17,3:79,42:46,4:123,4:173,6:70,6:92,9:16
10:38|11:13,11:35,22:73,24:2,26:93,27:43,2:23,32:3,42:46,46:8,5:116,6:56
10:39|16:36,27:14,27:51,27:69,28:40,30:42,37:73,3:137,43:25,6:148,7:103,7:84
10:40|4:55
10:41|26:216
10:42|43:40,47:16,6:25
10:45|46:35,6:31
10:46|13:40,3:98,40:77
10:48|21:38,27:71,34:29,36:48,67:25
10:49|16:61,18:39,25:3,27:87,39:68,6:128,7:188,7:34,87:7
10:50|6:40,6:47
10:52|27:90,34:42,36:54,37:39
10:53|6:134
10:54|34:33
10:55|11:107,11:108,16:52,17:55,18:21,19:93,24:64,25:6,28:13,28:57,2:116,30:26,30:60,31:26,31:33,35:5,39:49,40:55,40:77,44:39,45:32,46:17,4:170,52:47,55:29,57:1,59:24,6:12,6:37,7:131,7:187,8:34
10:57|22:5,35:5,4:170,4:174
10:59|5:87
10:60|16:116,22:17,27:73,2:243,2:251,3:75,3:78,40:61,4:50,58:7,5:103
10:61|11:6,14:38,27:75,29:22,34:3,3:5,57:22,58:7,6:59
10:62|2:112,2:262,2:274,2:277,2:38,2:62,3:170,46:13,5:69,6:48,7:35,7:49
10:63|12:57,27:53,41:18
10:64|13:26,14:27,14:3,16:107,18:104,35:32,40:9,41:31,44:57,57:12,9:111,9:38,9:72
10:65|2:165,4:139
10:66|11:101,14:2,16:20,16:49,19:48,20:6,22:12,22:18,22:64,22:73,24:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:40,35:44,39:38,39:43,39:68,3:109,3:129,3:29,40:66,42:4,42:53,43:20,45:13,46:4,46:5,49:16,4:126,4:131,4:132,4:171,53:23,53:28,53:31,58:7,59:1,5:97,61:1,62:1,64:1,6:108,6:116,6:148,6:56,7:194,7:37
10:67|13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,25:47,27:52,27:86,29:24,30:21,30:23,30:24,30:37,39:42,39:52,40:61,45:13,67:15,6:97,6:99
10:68|14:2,16:49,18:4,20:6,22:18,22:64,27:87,2:116,2:169,2:255,2:284,2:80,31:20,34:1,34:22,34:3,35:44,39:68,3:109,3:129,3:29,42:4,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1,7:28,7:33
10:69|16:116,3:94,4:50,5:103
10:71|2:54,37:124,61:5
10:72|11:29,11:51,26:109,26:127,26:145,26:164,26:180,27:91,34:47
10:73|16:36,26:119,27:14,27:51,27:69,28:40,30:42,37:73,3:137,43:25,6:11,7:103,7:64,7:84
10:74|30:47,34:53,7:101
10:75|7:103,7:133
10:76|28:48,40:25
10:78|11:20,11:53,31:21,5:104
10:80|26:41,26:43
10:84|8:41
10:85|60:5,7:89
10:88|26:201
10:90|11:14,16:2,20:14,20:8,21:25,21:87,27:26,28:70,28:88,2:255,37:35,3:18,3:2,47:19,4:87,64:13,7:138,9:129
10:92|14:36,30:8,5:49
10:93|16:124,22:69,27:78,29:13,2:113,32:25,39:46,45:17
10:94|28:86,28:87,2:147,3:60,6:114
10:95|3:4,40:63,62:5
10:97|26:201
10:98|2:85,39:26,41:16
10:100|14:11,3:145,3:161
10:101|13:15,16:52,16:77,19:65,19:93,21:19,24:64,26:24,29:52,2:116,30:27,31:26,37:5,38:66,3:83,44:7,45:37,4:170,57:1,59:24,64:4,6:12,78:37,7:187
10:102|7:71
10:103|30:47
10:104|16:73,19:49,21:66,21:67,21:98,22:49,22:5,22:71,22:73,25:17,25:55,27:16,27:24,27:43,29:17,33:17,35:15,3:79,42:46,49:13,4:123,4:173,5:76,60:4,6:70,7:158,9:16
10:105|28:87,30:30,30:31,6:14
10:106|18:43,19:48,21:66,22:12,22:71,22:73,25:55,26:93,28:81,35:40,39:38,40:66,42:46,46:4,46:5,5:116,6:56,6:71,7:194,7:37,9:16
10:107|14:11,24:43,28:82,29:62,30:48,34:39,39:23,6:17,6:88
10:108|17:15,18:29,22:49,22:5,27:16,27:92,35:5,39:41,4:170,4:174,6:104,7:158
10:109|33:2
