12:1|10:1,13:1,15:1,26:2,28:2
12:2|43:3
12:3|2:198
12:10|18:19
12:18|21:112
12:19|24:41
12:21|11:17,13:1,16:38,28:9,2:243,30:30,30:6,34:28,34:36,40:57,40:59,40:61,45:26,7:187
12:22|28:14
12:23|28:37,6:135,6:21
12:30|7:60
12:31|25:4,26:137
12:34|26:220,41:36,44:6,8:61
12:37|11:19,41:7,9:29
12:38|11:17,13:1,14:11,16:38,2:243,30:30,30:6,34:28,34:36,40:57,40:59,40:61,45:26,7:187
12:39|38:65,39:4
12:40|11:17,11:2,13:1,16:38,17:23,2:243,30:30,30:6,34:28,34:36,40:57,40:59,40:61,41:14,45:26,46:21,53:23,6:57,7:187,7:71
12:43|27:32
12:49|9:27
12:52|16:107,16:37,28:50,39:3,40:28,46:10,5:51,5:67,63:6,6:144
12:53|11:41
12:57|10:63,27:53,41:18
12:62|83:31
12:66|28:28,6:80
12:67|11:101,11:88,6:57,7:185
12:68|11:101,11:17,13:1,14:21,16:38,2:243,30:30,30:6,34:28,34:36,3:28,40:57,40:59,40:61,45:26,67:9,7:187
12:69|11:36
12:73|11:20,29:39
12:76|18:24,6:111,6:83,74:56,76:30,7:89,81:29
12:83|29:26
12:84|7:79,7:93
12:86|7:62
12:87|44:42,7:99
12:90|11:115,28:82,3:171,9:120,9:96
12:96|18:75,2:33,7:62
12:98|28:16,39:53,42:5
12:99|48:27
12:100|29:26
12:101|24:19
12:102|11:49,3:44
12:104|25:57,26:109,26:127,26:145,26:164,26:180,34:46,36:69,38:86,38:87,68:52,6:90,7:184,81:27
12:105|10:6,45:3
12:107|26:202,29:53,43:66,7:95
12:108|16:123,28:81,2:135,3:67,3:95,6:161,6:79
12:109|16:36,16:43,21:25,21:7,22:46,22:52,27:69,29:20,30:42,30:47,30:9,35:44,3:137,40:21,40:82,43:23,43:45,47:10,6:11,6:32,7:129,7:169,7:86
12:110|6:147
12:111|10:37,16:64,16:89,45:20,6:154,6:92,7:203,7:52
