43:1|40:1,41:1,42:1,44:1,45:1,46:1
43:2|44:2
43:3|12:2
43:7|11:8,15:11,16:34,21:41,26:6,36:30,39:48,40:83,45:33,46:26,6:10,6:5
43:9|27:60,29:61,2:164,31:25,39:38,3:190,3:191
43:10|20:53,2:22,40:64,67:15
43:11|13:17,14:32,16:10,16:65,20:53,22:63,23:18,29:63,2:22,30:24,35:27,39:21,50:11,6:99
43:12|36:36
43:17|16:58
43:20|10:66,45:24,6:116
43:21|28:52
43:23|12:109,16:43,21:25,22:52,34:34,7:94
43:24|34:34,41:14,7:75
43:25|10:39,10:73,16:36,27:14,27:51,27:69,28:40,30:42,37:73,3:137,6:11,7:103,7:84
43:26|6:74
43:29|21:44
43:31|59:21
43:32|6:165
43:33|2:213
43:35|9:38
43:36|72:17
43:38|27:84
43:40|10:42,34:24,50:27
43:45|12:109,16:43,21:25,22:52
43:46|11:96,14:5,26:16,40:23,7:103
43:49|7:134
43:50|2:162,2:86,3:88
43:51|20:86,23:23,6:6,6:78,71:2,7:59,7:61,7:67
43:52|67:20
43:54|27:12,28:32,51:46
43:62|2:168,2:208,36:60,6:142
43:64|19:36,3:51
43:65|19:37
43:66|12:107,26:202,29:53,47:18,7:95
43:68|7:49
43:72|7:43
43:73|23:19
43:76|16:118
43:82|13:16,18:14,21:22,37:180
43:83|52:45,70:42
43:85|15:85,19:65,24:42,25:2,25:59,26:24,2:107,30:8,32:4,37:5,38:10,38:66,39:44,3:189,42:29,42:49,44:38,44:7,45:27,46:3,48:14,50:38,57:2,57:5,5:120,5:17,5:18,5:40,78:37,7:158,7:185,85:9,9:116
43:86|13:14,40:20
43:87|29:61,31:25,39:38
43:88|44:22
