39:1|27:9,34:27,3:126,40:2,45:2,46:2
39:2|10:22,29:51,29:65,31:32,40:14,4:105,5:48,98:5
39:3|12:52,16:107,16:37,40:28,42:6,42:9
39:4|12:39
39:5|13:2,14:19,16:3,31:29,35:13,64:3,6:73
39:6|11:14,13:30,20:14,20:8,20:98,23:116,27:26,28:70,28:88,2:163,2:255,35:13,35:3,3:18,3:2,3:6,40:3,40:62,40:65,44:8,4:1,4:87,53:32,59:22,59:23,64:13,6:102,6:106,73:9,7:158,7:189,9:129,9:31
39:7|10:23,11:5,17:15,29:8,31:15,31:23,35:18,35:38,3:119,3:97,42:24,53:38,5:105,5:7,62:8,67:13,6:164,6:60,8:43,9:105,9:94
39:8|10:12,14:30,30:33
39:9|13:19
39:10|11:60,16:30,28:42,7:156
39:11|10:22,13:36,27:91,29:65,31:32,40:14,6:14,98:5
39:13|10:15,26:12,6:15
39:15|22:11,42:45
39:20|10:9,13:35,14:23,16:31,18:31,20:76,22:14,22:23,25:10,29:58,2:25,2:266,30:6,3:136,3:15,3:195,3:198,47:12,48:17,48:5,4:122,4:13,4:57,57:12,58:22,5:119,5:12,5:85,61:12,64:9,65:11,65:7,66:8,7:43,85:11,98:8,9:72,9:89
39:21|13:17,14:19,14:32,16:10,16:65,20:53,22:18,22:63,22:65,24:41,24:43,29:63,2:22,30:24,31:20,31:29,31:31,34:2,35:27,43:11,57:20,57:4,58:7,6:99
39:22|46:32
39:23|10:107,13:33,22:18,30:48,40:33,42:44,42:46,4:143,4:88,6:88
39:25|16:26,16:45
39:26|10:98,13:34,16:41,2:85,41:16,68:33
39:27|17:89,30:58
39:29|16:101,16:75,21:24,27:61,29:63,31:25
39:31|23:16
39:32|29:68,6:157
39:34|42:22
39:35|29:7
39:36|13:33,22:18,40:33,42:44,42:46,4:143,4:88
39:37|13:33,17:97,22:18,40:33,42:44,42:46
39:38|10:106,10:66,11:101,16:20,19:48,22:12,22:73,26:93,27:43,27:60,29:61,2:164,31:25,35:40,3:190,3:191,40:66,42:46,43:87,43:9,46:4,46:5,5:116,6:108,6:56,7:194,7:37
39:39|11:121,11:93,6:135
39:40|11:39,11:93
39:41|10:108,16:64,17:15,29:51,42:6,4:105,6:107
39:42|10:67,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,27:52,27:86,29:24,30:21,30:23,30:24,30:37,31:29,45:13,6:99
39:43|10:66,19:81,21:24,29:25,29:41,36:74,42:9,45:10,46:28,5:104,9:16
39:44|24:42,25:2,2:107,38:10,3:189,42:49,43:85,45:27,48:14,57:2,57:5,5:120,5:17,5:18,5:40,7:158,85:9,9:116
39:45|16:22,16:60,6:150
39:46|10:93,16:124,2:113,32:25,35:1,45:17
39:47|13:18,13:34,14:8,22:71,45:13,5:17,5:36,70:14
39:48|11:8,15:11,16:34,21:41,26:6,36:30,40:83,43:7,45:33,46:26,6:10,6:5
39:49|10:12,10:55,28:13,28:57,28:78,44:39,52:47,6:37,7:131,8:34
39:50|15:84,26:207,40:82
39:52|10:67,13:26,13:3,13:4,16:11,16:12,16:13,16:65,16:67,16:69,16:79,17:30,27:52,27:86,28:78,28:82,29:24,29:62,30:21,30:23,30:24,30:37,34:36,34:39,42:12,45:13,6:99,9:104,9:78
39:53|12:98,24:62,28:16,2:199,42:5,60:12,73:20,8:69
39:55|5:68,7:3
39:58|2:167
39:60|29:68
39:62|11:12,11:4,13:16,30:50,34:47,42:9,57:2,5:120,64:1,67:1,6:101,6:102,6:17
39:63|16:105,29:23,29:52,3:4,42:12
39:65|42:3
39:67|10:18,16:1,22:74,30:40,6:91
39:68|10:18,10:49,10:66,10:68,14:2,16:49,20:6,22:18,22:64,27:87,2:255,2:284,31:20,34:1,34:22,34:3,35:44,3:109,3:129,3:29,42:4,42:5,42:53,45:13,49:16,4:126,4:131,4:132,4:171,53:31,58:7,59:1,5:97,61:1,62:1,64:1,6:128,7:188,87:7
39:69|23:62
39:70|16:111,2:281,3:161,3:25,3:30
39:71|67:8,6:130,7:35,8:36
39:72|16:29,40:76
39:74|27:15,35:34,7:43
39:75|10:10,1:2,37:182,40:65,6:45
